"","TaxonoriginalDN","Taxonsimplified_DN","name","Acceptedname_ALA","name2.x","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","original","name2.y","name3"
"311","Eucalyptus kartzoffiana","Eucalyptus kartzoffiana","eucalyptus kartzoffiana","Eucalyptus kartzoffiana","eucalyptus kartzoffiana","","Species ","D.Nicolle",1765,"Araluen 2, NSW",35,36,14,149,45,56,141,33,"Alive","Severe","Severe","?","Scattered","Tertiary branches","3 - 6 months","Moderate","","None evident","Flowered","Flowered",1997,"Eucalyptus_kartzoffiana_152","eucalyptus_kartzoffiana","eucalyptus_kartzoffiana"
"312","Eucalyptus kessellii subsp. kessellii","Eucalyptus kessellii subsp. kessellii","eucalyptus kessellii subsp. kessellii","Eucalyptus kessellii subsp. kessellii","eucalyptus kessellii subsp. kessellii","","Subspecies","D.Nicolle",1101,"Mt Ridley, WA",33,15,31,122,7,28,65,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_kessellii_subsp_kessellii_343","eucalyptus_kessellii_subsp._kessellii","eucalyptus_kessellii_subsp_kessellii"
"313","Eucalyptus kitsoniana","Eucalyptus kitsoniana","eucalyptus kitsoniana","Eucalyptus kitsoniana","eucalyptus kitsoniana","","Species ","D.Nicolle",1720,"Portland, Vic",38,14,19,141,26,32,132,31,"Dead","","","","","","","","","","","",1997,"Eucalyptus_kitsoniana_110","eucalyptus_kitsoniana","eucalyptus_kitsoniana"
"314","Eucalyptus kochii subsp. kochii","Eucalyptus kochii subsp. kochii","eucalyptus kochii subsp. kochii","Eucalyptus kochii subsp. kochii","eucalyptus kochii subsp. kochii","","Subspecies","D.Nicolle",2218,"Morawa, WA",29,11,44,115,53,38,187,34,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_kochii_subsp_kochii_657","eucalyptus_kochii_subsp._kochii","eucalyptus_kochii_subsp_kochii"
"315","Eucalyptus kondininensis","Eucalyptus kondininensis","eucalyptus kondininensis","Eucalyptus kondininensis","eucalyptus kondininensis","","Species ","D.Nicolle",242,"Kondinin, WA",32,30,2,118,15,49,26,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_kondininensis_85","eucalyptus_kondininensis","eucalyptus_kondininensis"
"316","Eucalyptus koolpinensis","Eucalyptus koolpinensis","eucalyptus koolpinensis","Eucalyptus koolpinensis","eucalyptus koolpinensis","","Species ","D.Nicolle",2486,"Kakadu Nat. Park, NT",13,30,57,132,34,32,167,30,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Eucalyptus_koolpinensis_CANB_454611","eucalyptus_koolpinensis","eucalyptus_koolpinensis"
"317","Eucalyptus kruseana","Eucalyptus kruseana","eucalyptus kruseana","Eucalyptus kruseana","eucalyptus kruseana","","Species ","D.Nicolle",337,"Cardunia Rocks, WA",30,56,4,122,33,1,45,21,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"Eucalyptus_kruseana_129","eucalyptus_kruseana","eucalyptus_kruseana"
"318","Eucalyptus kumarlensis","Eucalyptus kumarlensis","eucalyptus kumarlensis","Eucalyptus kumarlensis","eucalyptus kumarlensis","","Species ","D.Nicolle",141,"Beete, WA",32,38,33,121,30,21,11,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_kumarlensis_587","eucalyptus_kumarlensis","eucalyptus_kumarlensis"
"319","Eucalyptus kybeanensis","Eucalyptus kybeanensis","eucalyptus kybeanensis","Eucalyptus kybeanensis","eucalyptus kybeanensis","","Species ","D.Nicolle",593,"Wadbilliga Trig, NSW",36,20,31,149,36,0,60,5,"Dead","","","","","","","","","","","",1994,"Eucalyptus_kybeanensis_AHT_E19","eucalyptus_kybeanensis","eucalyptus_kybeanensis"
"320","Eucalyptus lacrimans","Eucalyptus lacrimans","eucalyptus lacrimans","Eucalyptus lacrimans","eucalyptus lacrimans","","Species ","D.Nicolle",590,"Adaminaby 1, NSW",36,3,19,148,50,9,59,8,"Dead","","","","","","","","","","","",1994,"Eucalyptus_lacrimans_251","eucalyptus_lacrimans","eucalyptus_lacrimans"
"321","Eucalyptus laeliae","Eucalyptus laeliae","eucalyptus laeliae","Eucalyptus laeliae","eucalyptus laeliae","","Species ","D.Nicolle",1150,"Serpentine, WA",32,22,7,116,0,31,64,29,"Alive","Moderate","None evident","??","None evident","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_laeliae_337","eucalyptus_laeliae","eucalyptus_laeliae"
"322","Eucalyptus laevopinea","Eucalyptus laevopinea","eucalyptus laevopinea","Eucalyptus laevopinea","eucalyptus laevopinea","","Species ","D.Nicolle",649,"Wollomombi, NSW",30,31,59,152,1,57,57,30,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_laevopinea_245","eucalyptus_laevopinea","eucalyptus_laevopinea"
"323","Eucalyptus lane-poolei","Eucalyptus lanepoolei","eucalyptus lanepoolei","Eucalyptus lane-poolei","eucalyptus lane-poolei","In Gbif is lanepoolei","Species","D.Nicolle",255,"Badgingarra NP, WA",30,24,12,115,23,6,22,33,"Dead","","","","","","","","","","","",1993,"Eucalyptus_lanepoolei_434","eucalyptus_lanepoolei","eucalyptus_lanepoolei"
"324","Eucalyptus langleyi","Eucalyptus langleyi","eucalyptus langleyi","Eucalyptus langleyi","eucalyptus langleyi","","Species ","D.Nicolle",613,"Nowra 1, NSW",34,58,31,150,29,37,59,1,"Dead","","","","","","","","","","","",1994,"Eucalyptus_langleyi_8801319","eucalyptus_langleyi","eucalyptus_langleyi"
"325","Eucalyptus lansdowneana","Eucalyptus lansdowneana","eucalyptus lansdowneana","Eucalyptus lansdowneana","eucalyptus lansdowneana","","Species ","D.Nicolle",57,"Scrubby Peak, SA",32,35,NA,135,15,NA,52,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_lansdowneana_652","eucalyptus_lansdowneana","eucalyptus_lansdowneana"
"326","Eucalyptus largeana","Eucalyptus largeana","eucalyptus largeana","Eucalyptus largeana","eucalyptus largeana","","Species ","D.Nicolle",2086,"Craven, NSW",32,10,7,151,53,17,155,11,"Alive","Moderate","Slight","?","None evident","","","","","Slight","Flowered","Flowered",1998,"Eucalyptus_largeana_CANB_470581","eucalyptus_largeana","eucalyptus_largeana"
"327","Eucalyptus largiflorens (green-leaf variant)","Eucalyptus largiflorens","eucalyptus largiflorens","Eucalyptus largiflorens","eucalyptus largiflorens","","Species","D.Nicolle",2556,"Mulyungarie, SA",31,46,21,140,53,28,177,12,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_largiflorens_CANB_785604","eucalyptus_largiflorens","eucalyptus_largiflorens"
"328","Eucalyptus latens","Eucalyptus latens","eucalyptus latens","Eucalyptus latens","eucalyptus latens","","Species ","D.Nicolle",1613,"Boyagin Rock, WA",32,28,59,116,50,46,138,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_latens_292","eucalyptus_latens","eucalyptus_latens"
"329","Eucalyptus latisinensis","Eucalyptus latisinensis","eucalyptus latisinensis","Eucalyptus latisinensis","eucalyptus latisinensis","","Species ","D.Nicolle",715,"Goodwood, Qld",25,10,35,152,22,7,58,32,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"Eucalyptus_latisinensis_247","eucalyptus_latisinensis","eucalyptus_latisinensis"
"330","Eucalyptus leptocalyx subsp. leptocalyx","Eucalyptus leptocalyx subsp. leptocalyx","eucalyptus leptocalyx subsp. leptocalyx","Eucalyptus leptocalyx subsp. leptocalyx","eucalyptus leptocalyx subsp. leptocalyx","","Subspecies","D.Nicolle",153,"Grass Patch, WA",33,9,34,121,26,47,17,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_leptocalyx_subsp_leptocalyx_73","eucalyptus_leptocalyx_subsp._leptocalyx","eucalyptus_leptocalyx_subsp_leptocalyx"
"331","Eucalyptus leptophleba","Eucalyptus leptophleba","eucalyptus leptophleba","Eucalyptus leptophleba","eucalyptus leptophleba","","Species ","D.Nicolle",1313,"Laura, Qld",15,38,59,144,31,38,93,16,"Dead","","","","","","","","","","","",1996,"Eucalyptus_leptophleba_CANB_597951","eucalyptus_leptophleba","eucalyptus_leptophleba"
"332","Eucalyptus leptopoda subsp. leptopoda","Eucalyptus leptopoda subsp. leptopoda","eucalyptus leptopoda subsp. leptopoda","Eucalyptus leptopoda subsp. leptopoda","eucalyptus leptopoda subsp. leptopoda","","Subspecies","D.Nicolle",298,"Bonnie Rock, WA",30,31,25,118,18,4,14,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_leptopoda_subsp_leptopoda_CANB_519232","eucalyptus_leptopoda_subsp._leptopoda","eucalyptus_leptopoda_subsp_leptopoda"
"333","Eucalyptus lesouefii","Eucalyptus lesouefii","eucalyptus lesouefii","Eucalyptus lesouefii","eucalyptus lesouefii","","Species ","D.Nicolle",3633,"Fraser Range, WA",31,34,11,123,22,44,225,18,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_lesouefii_38","eucalyptus_lesouefii","eucalyptus_lesouefii"
"334","Eucalyptus leucophloia subsp. euroa","Eucalyptus leucophloia subsp. euroa","eucalyptus leucophloia subsp. euroa","Eucalyptus leucophloia subsp. euroa","eucalyptus leucophloia subsp. euroa","","Subspecies","D.Nicolle",1332,"Mt Isa, Qld",20,34,9,139,31,32,82,18,"Alive","None evident","None evident","?","","","","","","None evident","","",1998,"Eucalyptus_leucophloia_subsp_euroa_500","eucalyptus_leucophloia_subsp._euroa","eucalyptus_leucophloia_subsp_euroa"
"335","Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata)","Eucalyptus leucoxylon subsp. leucoxylon","eucalyptus leucoxylon subsp. leucoxylon","Eucalyptus leucoxylon subsp. leucoxylon","eucalyptus leucoxylon subsp. leucoxylon","","Subspecies","D.Nicolle",2585,"Bacchus Marsh, Vic",37,39,42,144,21,51,190,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_leucoxylon_subsp_leucoxylon_716","eucalyptus_leucoxylon_subsp._leucoxylon","eucalyptus_leucoxylon_subsp_leucoxylon"
"336","Eucalyptus ligulata subsp. ligulata","Eucalyptus ligulata subsp. ligulata","eucalyptus ligulata subsp. ligulata","Eucalyptus ligulata subsp. ligulata","eucalyptus ligulata subsp. ligulata","","Subspecies","D.Nicolle",175,"Cape Le Grand, WA",33,58,34,122,7,33,21,27,"Dead","","","","","","","","","","","",1993,"Eucalyptus_ligulata_subsp_ligulata_721","eucalyptus_ligulata_subsp._ligulata","eucalyptus_ligulata_subsp_ligulata"
"337","Eucalyptus ligustrina","Eucalyptus ligustrina","eucalyptus ligustrina","Eucalyptus ligustrina","eucalyptus ligustrina","","Species ","D.Nicolle",624,"Kings Tableland, NSW",33,44,43,150,22,41,60,14,"Dead","","","","","","","","","","","",1994,"Eucalyptus_ligustrina_736","eucalyptus_ligustrina","eucalyptus_ligustrina"
"338","Eucalyptus lirata","Eucalyptus lirata","eucalyptus lirata","Eucalyptus lirata","eucalyptus lirata","","Species ","D.Nicolle",1917,"Mt Elizabeth Station, WA",16,28,42,126,12,11,133,35,"Dead","","","","","","","","","","","",1997,"Eucalyptus_lirata_CANB_784082","eucalyptus_lirata","eucalyptus_lirata"
"339","Eucalyptus litorea","Eucalyptus litorea","eucalyptus litorea","Eucalyptus litorea","eucalyptus litorea","","Species ","D.Nicolle",1094,"Israelite Bay, WA",33,38,45,123,47,32,65,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_litorea_341","eucalyptus_litorea","eucalyptus_litorea"
"340","Eucalyptus litorea (E. famelica)","Eucalyptus litorea","eucalyptus litorea","Eucalyptus famelica","eucalyptus famelica","","Species ","D.Nicolle",199,"Hopetoun, WA",33,47,52,120,25,57,21,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_litorea_341","eucalyptus_litorea","eucalyptus_litorea"
"341","Eucalyptus livida","Eucalyptus livida","eucalyptus livida","Eucalyptus livida","eucalyptus livida","","Species ","D.Nicolle",318,"North Ironcap, WA",32,21,25,119,39,56,12,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_livida_CANB_794326","eucalyptus_livida","eucalyptus_livida"
"342","Eucalyptus lockyeri","Eucalyptus lockyeri","eucalyptus lockyeri","Eucalyptus lockyeri","eucalyptus lockyeri","","Species ","D.Nicolle",1323,"Ravenshoe, Qld",17,35,19,145,27,53,93,3,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_lockyeri","eucalyptus_lockyeri","eucalyptus_lockyeri"
"343","Eucalyptus longicornis","Eucalyptus longicornis","eucalyptus longicornis","Eucalyptus longicornis","eucalyptus longicornis","","Species ","D.Nicolle",2241,"Wagin, WA",33,5,36,117,14,24,168,14,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_longicornis_491","eucalyptus_longicornis","eucalyptus_longicornis"
"344","Eucalyptus longifolia","Eucalyptus longifolia","eucalyptus longifolia","Eucalyptus longifolia","eucalyptus longifolia","","Species ","D.Nicolle",1750,"Eden, NSW",37,4,28,149,53,7,144,35,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_longifolia","eucalyptus_longifolia","eucalyptus_longifolia"
"345","Eucalyptus longirostrata","Eucalyptus longirostrata","eucalyptus longirostrata","Eucalyptus longirostrata","eucalyptus longirostrata","","Species ","D.Nicolle",2112,"Cracow, Qld",25,26,46,150,18,32,83,12,"Alive","Moderate","Slight","?","Scattered","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1998,"Eucalyptus_longirostrata_649","eucalyptus_longirostrata","eucalyptus_longirostrata"
"346","Eucalyptus loxophleba subsp. loxophleba","Eucalyptus loxophleba subsp. loxophleba","eucalyptus loxophleba subsp. loxophleba","Eucalyptus loxophleba subsp. loxophleba","eucalyptus loxophleba subsp. loxophleba","","Subspecies","D.Nicolle",239,"Tarin Rock, WA",33,2,35,118,6,20,26,34,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_loxophleba_subsp_loxophleba_ANBG_9205090","eucalyptus_loxophleba_subsp._loxophleba","eucalyptus_loxophleba_subsp_loxophleba"
"347","Eucalyptus lucasii","Eucalyptus lucasii","eucalyptus lucasii","Eucalyptus lucasii","eucalyptus lucasii","","Species ","D.Nicolle",4283,"Kumarina roadhouse, WA",24,38,17,119,36,33,200,25,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"Eucalyptus_lucasii_MC_11098","eucalyptus_lucasii","eucalyptus_lucasii"
"348","Eucalyptus lucens","Eucalyptus lucens","eucalyptus lucens","Eucalyptus lucens","eucalyptus lucens","","Species ","D.Nicolle",1353,"Mt Hermannsburg, NT",24,0,0,132,39,3,86,19,"Dead","","","","","","","","","","","",1996,"Eucalyptus_lucens_526","eucalyptus_lucens","eucalyptus_lucens"
"349","Eucalyptus luculenta","Eucalyptus luculenta","eucalyptus luculenta","Eucalyptus luculenta","eucalyptus luculenta","","Species ","D.Nicolle",3618,"Mt Buraminya, WA",33,9,27,123,3,56,203,33,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"Eucalyptus_luculenta_705","eucalyptus_luculenta","eucalyptus_luculenta"
"350","Eucalyptus luehmanniana","Eucalyptus luehmanniana","eucalyptus luehmanniana","Eucalyptus luehmanniana","eucalyptus luehmanniana","","Species ","D.Nicolle",2910,"Ku-Ring-Gai Chase, NSW",33,39,25,151,15,23,198,22,"Dead","","","","","","","","","","","",2000,"Eucalyptus_luehmanniana_8300316","eucalyptus_luehmanniana","eucalyptus_luehmanniana"
"351","Eucalyptus macarthurii","Eucalyptus macarthurii","eucalyptus macarthurii","Eucalyptus macarthurii","eucalyptus macarthurii","","Species ","D.Nicolle",2071,"Berrima, NSW",34,31,4,150,18,13,158,1,"Dead","","","","","","","","","Died in 2006","","",1998,"Eucalyptus_macarthurii_ANBG_no_sn","eucalyptus_macarthurii","eucalyptus_macarthurii"
"352","Eucalyptus mackintii","Eucalyptus mackintii","eucalyptus mackintii","Eucalyptus mackintii","eucalyptus mackintii","In Gbif appears as Eucalyptus mackintyi","Species ","D.Nicolle",1737,"Bruthen, Vic",37,42,37,147,59,7,141,14,"Alive","Moderate","Severe","?","Extensive","Trunk + primary & secondary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"Eucalyptus_mackintii_308","eucalyptus_mackintii","eucalyptus_mackintii"
"353","Eucalyptus macrandra","Eucalyptus macrandra","eucalyptus macrandra","Eucalyptus macrandra","eucalyptus macrandra","","Species ","D.Nicolle",1132,"Pallinup River, WA",34,24,21,118,43,48,70,6,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_macrandra_153","eucalyptus_macrandra","eucalyptus_macrandra"
"354","Eucalyptus macrocarpa subsp. macrocarpa","Eucalyptus macrocarpa subsp. macrocarpa","eucalyptus macrocarpa subsp. macrocarpa","Eucalyptus macrocarpa subsp. macrocarpa","eucalyptus macrocarpa subsp. macrocarpa","","Subspecies","D.Nicolle",261,"Warradarge, WA",30,8,55,115,24,45,10,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_macrocarpa_subsp_macrocarpa_60","eucalyptus_macrocarpa_subsp._macrocarpa","eucalyptus_macrocarpa_subsp_macrocarpa"
"355","Eucalyptus macrorhyncha subsp. macrorhyncha","Eucalyptus macrorhyncha subsp. macrorhyncha","eucalyptus macrorhyncha subsp. macrorhyncha","Eucalyptus macrorhyncha subsp. macrorhyncha","eucalyptus macrorhyncha subsp. macrorhyncha","","Subspecies","D.Nicolle",737,"Grenfell, NSW",33,55,22,148,24,49,47,16,"Alive","None evident","None evident","?","","","","","","None evident","","",1994,"Eucalyptus_macrorhyncha_subsp_macrorhyncha_761","eucalyptus_macrorhyncha_subsp._macrorhyncha","eucalyptus_macrorhyncha_subsp_macrorhyncha"
"356","Eucalyptus magnificata ","Eucalyptus magnificata","eucalyptus magnificata","Eucalyptus magnificata","eucalyptus magnificata","","Species ","D.Nicolle",2945,"Enmore, NSW",30,43,9,151,43,20,192,23,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_magnificata_672","eucalyptus_magnificata","eucalyptus_magnificata"
"357","Eucalyptus major","Eucalyptus major","eucalyptus major","Eucalyptus major","eucalyptus major","","Species ","D.Nicolle",2107,"Helidon Hills, Qld",27,31,7,152,9,39,151,9,"Alive","Slight","Slight","?","None evident","","","","","None evident","","",1998,"Eucalyptus_major_602","eucalyptus_major","eucalyptus_major"
"358","Eucalyptus malacoxylon","Eucalyptus malacoxylon","eucalyptus malacoxylon","Eucalyptus malacoxylon","eucalyptus malacoxylon","","Species","D.Nicolle",1368,"Moonbi, NSW",30,56,NA,151,8,NA,92,3,"Alive","Dead","","","","","","","3 - 6 months","Moderate","","",1996,"Eucalyptus_malacoxylon_576","eucalyptus_malacoxylon","eucalyptus_malacoxylon"
"359","Eucalyptus mannensis subsp. vespertina","Eucalyptus mannensis subsp. vespertina","eucalyptus mannensis subsp. vespertina","Eucalyptus mannensis subsp. vespertina","eucalyptus mannensis subsp. vespertina","","Subspecies","D.Nicolle",1171,"Shark Bay, WA",27,21,13,114,37,49,62,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_mannensis_subsp_vespertina_321","eucalyptus_mannensis_subsp._vespertina","eucalyptus_mannensis_subsp_vespertina"
"360","Eucalyptus marginata subsp. marginata","Eucalyptus marginata subsp. marginata","eucalyptus marginata subsp. marginata","Eucalyptus marginata","eucalyptus marginata","","Species ","D.Nicolle",1144,"Manjimup, WA",34,11,34,115,34,38,72,23,"Dead","","","","","","","","","","","",1995,"Eucalyptus_marginata_subsp_marginata_MC_10941","eucalyptus_marginata_subsp._marginata","eucalyptus_marginata_subsp_marginata"
"361","Eucalyptus mckieana","Eucalyptus mckieana","eucalyptus mckieana","Eucalyptus mckieana","eucalyptus mckieana","","Species ","D.Nicolle",659,"Tingha, NSW",29,59,0,151,27,42,58,3,"Alive","None evident","Slight","?","Extensive","Primary, secondary & tertiary branches","3 - 6 months","None evident","","None evident","","",1994,"Eucalyptus_mckieana_248","eucalyptus_mckieana","eucalyptus_mckieana"
"362","Eucalyptus mcquoidii","Eucalyptus mcquoidii","eucalyptus mcquoidii","Eucalyptus mcquoidii","eucalyptus mcquoidii","","Species ","D.Nicolle",3569,"Quoin Head, WA",33,59,11,119,49,3,220,18,"Alive","Slight","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_mcquoidii_4","eucalyptus_mcquoidii","eucalyptus_mcquoidii"
"363","Eucalyptus megacarpa","Eucalyptus megacarpa","eucalyptus megacarpa","Eucalyptus megacarpa","eucalyptus megacarpa","","Species ","D.Nicolle",1137,"Two Peoples Bay, WA",34,55,6,118,11,13,70,39,"Alive","Dead","","","","","","","3 - 6 months","Severe","Flowered","Flowered",1995,"Eucalyptus_megacarpa_MC_11214","eucalyptus_megacarpa","eucalyptus_megacarpa"
"364","Eucalyptus megacornuta","Eucalyptus megacornuta","eucalyptus megacornuta","Eucalyptus megacornuta","eucalyptus megacornuta","","Species ","D.Nicolle",1121,"Ravensthorpe Range, WA",33,30,43,120,2,20,72,4,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_megacornuta_84","eucalyptus_megacornuta","eucalyptus_megacornuta"
"365","Eucalyptus melanoleuca","Eucalyptus melanoleuca","eucalyptus melanoleuca","Eucalyptus melanoleuca","eucalyptus melanoleuca","","Species ","D.Nicolle",2111,"Yarraman, Qld",26,47,12,151,57,27,151,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1998,"Eucalyptus_melanoleuca_605","eucalyptus_melanoleuca","eucalyptus_melanoleuca"
"366","Eucalyptus melanophitra","Eucalyptus melanophitra","eucalyptus melanophitra","Eucalyptus melanophitra","eucalyptus melanophitra","","Species ","D.Nicolle",211,"Pallinup River, WA",34,20,2,118,40,13,15,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_melanophitra_582","eucalyptus_melanophitra","eucalyptus_melanophitra"
"367","Eucalyptus melanophloia subsp. melanophloia","Eucalyptus melanophloia subsp. melanophloia","eucalyptus melanophloia subsp. melanophloia","Eucalyptus melanophloia subsp. melanophloia","eucalyptus melanophloia subsp. melanophloia","","Subspecies","D.Nicolle",1285,"Jericho, Qld",23,33,36,145,43,6,92,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_melanophloia_subsp_melanophloia_207","eucalyptus_melanophloia_subsp._melanophloia","eucalyptus_melanophloia_subsp_melanophloia"
"368","Eucalyptus melanoxylon","Eucalyptus melanoxylon","eucalyptus melanoxylon","Eucalyptus melanoxylon","eucalyptus melanoxylon","","Species","D.Nicolle",143,"Lake Gilmore, WA",32,40,16,121,32,23,11,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_melanoxylon_586","eucalyptus_melanoxylon","eucalyptus_melanoxylon"
"369","Eucalyptus melliodora","Eucalyptus melliodora","eucalyptus melliodora","Eucalyptus melliodora","eucalyptus melliodora","","Species ","D.Nicolle",777,"Rylstone, NSW",32,42,44,149,57,58,48,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_melliodora_ANBG_662272","eucalyptus_melliodora","eucalyptus_melliodora"
"370","Eucalyptus merrickiae","Eucalyptus merrickiae","eucalyptus merrickiae","Eucalyptus merrickiae","eucalyptus merrickiae","","Species ","D.Nicolle",156,"Truslove, WA",33,20,22,121,45,38,16,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_merrickiae_CANB_794336","eucalyptus_merrickiae","eucalyptus_merrickiae"
"371","Eucalyptus michaeliana","Eucalyptus michaeliana","eucalyptus michaeliana","Eucalyptus michaeliana","eucalyptus michaeliana","","Species ","D.Nicolle",650,"Hillgrove, NSW",30,35,27,151,57,19,61,3,"Alive","Moderate","Slight","?","None evident","","","","","Moderate","Flowered","Flowered",1994,"Eucalyptus_michaeliana_258","eucalyptus_michaeliana","eucalyptus_michaeliana"
"372","Eucalyptus micranthera","Eucalyptus micranthera","eucalyptus micranthera","Eucalyptus micranthera","eucalyptus micranthera","","Species ","D.Nicolle",1090,"Mt Ragged, WA",33,27,48,123,26,45,64,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_micranthera_334","eucalyptus_micranthera","eucalyptus_micranthera"
"373","Eucalyptus microcarpa","Eucalyptus microcarpa","eucalyptus microcarpa","Eucalyptus microcarpa","eucalyptus microcarpa","","Species ","D.Nicolle",1220,"West Wyalong, NSW",33,54,13,147,18,4,88,38,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_microcarpa_475","eucalyptus_microcarpa","eucalyptus_microcarpa"
"374","Eucalyptus microcorys","Eucalyptus microcorys","eucalyptus microcorys","Eucalyptus microcorys","eucalyptus microcorys","","Species ","D.Nicolle",1238,"Johns River, NSW",31,41,30,152,44,3,94,5,"Alive","Moderate","Severe","?","Moderate","Basal + trunk + primary & secondary branches","3 - 6 months","Moderate","","None evident","Flowered","Flowered",1996,"Eucalyptus_microcorys_ANBG_491154","eucalyptus_microcorys","eucalyptus_microcorys"
"375","Eucalyptus microneura","Eucalyptus microneura","eucalyptus microneura","Eucalyptus microneura","eucalyptus microneura","","Species ","D.Nicolle",1326,"Forsayth, Qld",18,35,10,143,36,14,91,9,"Dead","","","","","","","","","","","",1996,"Eucalyptus_microneura_8603418","eucalyptus_microneura","eucalyptus_microneura"
"376","Eucalyptus microtheca","Eucalyptus microtheca","eucalyptus microtheca","Eucalyptus microtheca","eucalyptus microtheca","","Species ","D.Nicolle",1338,"Newcastle Creek, NT",17,15,35,133,27,15,87,32,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"Eucalyptus_microtheca_MC_10519","eucalyptus_microtheca","eucalyptus_microtheca"
"377","Eucalyptus mimica subsp. mimica","Eucalyptus mimica subsp. mimica","eucalyptus mimica subsp. mimica","Eucalyptus mimica subsp. mimica","eucalyptus mimica subsp. mimica","","Subspecies","D.Nicolle",188,"Newdegate, WA",33,12,4,119,13,23,18,16,"Dead","","","","","","","","","","","",1993,"Eucalyptus_mimica_subsp_mimica_534","eucalyptus_mimica_subsp._mimica","eucalyptus_mimica_subsp_mimica"
"378","Eucalyptus minniritchi","Eucalyptus minniritchi","eucalyptus minniritchi","Eucalyptus minniritchi","eucalyptus minniritchi","","Species ","D.Nicolle",1354,"Mt Hermannsburg, NT",24,0,0,132,39,3,86,22,"Dead","","","","","","","","","","","",1996,"Eucalyptus_minniritchi_263","eucalyptus_minniritchi","eucalyptus_minniritchi"
