"","x"
"1545","3698"
"1546","2802"
"1547","1117"
"1548","6005"
"1549","1638"
"1550","1129"
"1551","1108"
"1552","930"
"1553","152"
"1554","3973"
"1555","3816"
"1556","5905"
"1557","939"
"1558","3554"
"1559","3746"
"1560","5983"
"1561","3706"
"1562","1136"
"1563","4801"
"1564","2800"
"1565","2587"
"1566","1074"
"1567","103"
"1568","60"
"1569","550"
"1570","4437"
"1571","1110"
"1572","199"
"1573","143"
"1574","6355"
"1575","3650"
"1576","3635"
"1577","120"
"1578","4306"
"1579","330"
"1580","6996"
"1581","131"
"1582","4305"
"1583","3637"
"1584","515"
"1585","3627"
"1586","3601"
"1587","3445"
"1588","2733"
"1589","5997"
"1590","558"
"1591","1107"
"1592","5575"
"1593","5577"
"1594","6016"
"1595","156"
"1596","2738"
"1597","110"
"1598","526"
"1599","121"
"1600","6010"
"1601","1094"
"1602","3451"
"1603","290"
"1604","3497"
"1605","278"
"1606","301"
"1607","5458"
"1608","4677"
"1609","3448"
"1610","2300"
"1611","340"
"1612","3595"
"1613","157"
"1614","2175"
"1615","129"
"1616","4430"
"1617","1887"
"1618","6378"
"1619","1132"
"1620","312"
"1621","1148"
"1622","314"
"1623","4678"
"1624","327"
"1625","3578"
"1626","1121"
"1627","4611"
"1628","4588"
"1629","4585"
"1630","4805"
"1631","3570"
"1632","6370"
"1633","1639"
"1634","5061"
"1635","5057"
"1636","3569"
"1637","212"
"1638","4608"
"1639","4597"
"1640","4587"
"1641","3748"
"1642","173"
"1643","2246"
"1644","5053"
"1645","144"
"1646","2248"
"1647","1122"
"1648","204"
"1649","5468"
"1650","7001"
"1651","328"
"1652","5472"
"1653","3596"
"1654","1120"
"1655","4435"
"1656","3583"
"1657","1128"
"1658","197"
"1659","4425"
"1660","3814"
"1661","3721"
"1662","311"
"1663","4412"
"1664","5551"
"1665","2229"
"1666","6022"
"1667","3695"
"1668","2236"
"1669","4668"
"1670","317"
"1671","3697"
"1672","5543"
"1673","3544"
"1674","1168"
"1675","271"
"1676","238"
"1677","3590"
"1678","2228"
"1679","310"
"1680","5976"
"1681","5994"
"1682","5046"
"1683","345"
"1684","188"
"1685","1114"
"1686","186"
"1687","4421"
"1688","234"
"1689","3806"
"1690","3435"
"1691","2715"
"1692","2631"
"1693","7307"
"1694","1391"
"1695","2099"
"1696","299"
"1697","3715"
"1698","187"
"1699","140"
"1700","329"
"1701","2536"
"1702","3563"
"1703","207"
"1704","201"
"1705","1883"
"1706","1621"
"1707","5480"
"1708","3678"
"1709","3675"
"1710","192"
"1711","3577"
"1712","4432"
"1713","3704"
"1714","3561"
"1715","1130"
"1716","222"
"1717","233"
"1718","3562"
"1719","240"
"1720","206"
"1721","167"
"1722","163"
"1723","208"
"1724","3591"
"1725","184"
"1726","4800"
"1727","3574"
"1728","182"
"1729","3565"
"1730","3556"
"1731","1095"
"1732","170"
"1733","3571"
"1734","3585"
"1735","2243"
"1736","214"
"1737","194"
"1738","3503"
"1739","3438"
"1740","3423"
"1741","272"
"1742","4589"
"1743","5493"
"1744","3705"
"1745","215"
"1746","1184"
"1747","4302"
"1748","547"
"1749","2521"
"1750","4804"
"1751","228"
"1752","3685"
"1753","245"
"1754","3458"
"1755","287"
"1756","3559"
"1757","3454"
"1758","130"
"1759","5062"
"1760","232"
"1761","202"
"1762","520"
"1763","5593"
"1764","2211"
"1765","1165"
"1766","239"
"1767","139"
"1768","313"
"1769","267"
"1770","1150"
"1771","3498"
"1772","1534"
"1773","5936"
"1774","529"
"1775","5200"
"1776","3646"
"1777","344"
"1778","7224"
"1779","123"
"1780","3641"
"1781","126"
"1782","1164"
"1783","281"
"1784","284"
"1785","6993"
"1786","337"
"1787","338"
"1788","159"
"1789","3831"
"1790","3496"
"1791","2717"
"1792","342"
"1793","3606"
"1794","1102"
"1795","3607"
"1796","117"
"1797","1554"
"1798","1540"
"1799","3631"
"1800","127"
"1801","5660"
"1802","2174"
"1803","332"
"1804","3647"
"1805","552"
"1806","146"
"1807","2781"
"1808","134"
"1809","3739"
"1810","3467"
"1811","145"
"1812","318"
"1813","221"
"1814","210"
"1815","3727"
"1816","1662"
"1817","251"
"1818","125"
"1819","185"
"1820","1111"
"1821","1636"
"1822","3434"
"1823","295"
"1824","5556"
"1825","2216"
"1826","296"
"1827","3661"
"1828","124"
"1829","7285"
"1830","343"
"1831","3779"
"1832","193"
"1833","211"
"1834","213"
"1835","2193"
"1836","196"
"1837","324"
"1838","236"
"1839","235"
