all,genus,species,subspecies,provence,,,,,provence____,Taxa,name
Eucalyptus_botryoides_304,Eucalyptus,botryoides,,304,,,,,304____,Eucalyptus botryoides ,eucalyptus botryoides
Eucalyptus_brachyandra_MC_10534,Eucalyptus,brachyandra,,MC,10534,,,,MC_10534___,Eucalyptus brachyandra ,eucalyptus brachyandra
Eucalyptus_brachycalyx_508,Eucalyptus,brachycalyx,,508,,,,,508____,Eucalyptus brachycalyx ,eucalyptus brachycalyx
Eucalyptus_brachycorys_266,Eucalyptus,brachycorys,,266,,,,,266____,Eucalyptus brachycorys ,eucalyptus brachycorys
Eucalyptus_brachyphylla_9807043,Eucalyptus,brachyphylla,,9807043,,,,,9807043____,Eucalyptus brachyphylla ,eucalyptus brachyphylla
Eucalyptus_brassiana_CANB_598285,Eucalyptus,brassiana,,CANB,598285,,,,CANB_598285___,Eucalyptus brassiana ,eucalyptus brassiana
Eucalyptus_brevifolia_CANB_785488,Eucalyptus,brevifolia,,CANB,785488,,,,CANB_785488___,Eucalyptus brevifolia ,eucalyptus brevifolia
Eucalyptus_brevipes_CANB_692658,Eucalyptus,brevipes,,CANB,692658,,,,CANB_692658___,Eucalyptus brevipes ,eucalyptus brevipes
Eucalyptus_brevistylis_393,Eucalyptus,brevistylis,,393,,,,,393____,Eucalyptus brevistylis ,eucalyptus brevistylis
Eucalyptus_bridgesiana_257,Eucalyptus,bridgesiana,,257,,,,,257____,Eucalyptus bridgesiana ,eucalyptus bridgesiana
Eucalyptus_brockwayi_474,Eucalyptus,brockwayi,,474,,,,,474____,Eucalyptus brockwayi ,eucalyptus brockwayi
Eucalyptus_brookeriana_subsp_brookeriana_617,Eucalyptus,brookeriana,brookeriana,,,617,,,__617__,Eucalyptus brookeriana subsp. brookeriana,eucalyptus brookeriana subsp. brookeriana
Eucalyptus_brunnea_619,Eucalyptus,brunnea,,619,,,,,619____,Eucalyptus brunnea ,eucalyptus brunnea
Eucalyptus_buprestium_CANB_632568,Eucalyptus,buprestium,,CANB,632568,,,,CANB_632568___,Eucalyptus buprestium ,eucalyptus buprestium
Eucalyptus_burdettiana_510,Eucalyptus,burdettiana,,510,,,,,510____,Eucalyptus burdettiana ,eucalyptus burdettiana
Eucalyptus_burgessiana_ANBG_no_sn,Eucalyptus,burgessiana,,ANBG,no,sn,,,ANBG_no_sn__,Eucalyptus burgessiana ,eucalyptus burgessiana
Eucalyptus_burracoppinensis_CANB_794037,Eucalyptus,burracoppinensis,,CANB,794037,,,,CANB_794037___,Eucalyptus burracoppinensis ,eucalyptus burracoppinensis
Eucalyptus_cadens_285,Eucalyptus,cadens,,285,,,,,285____,Eucalyptus cadens ,eucalyptus cadens
Eucalyptus_caesia_subsp_caesia_52,Eucalyptus,caesia,caesia,,,52,,,__52__,Eucalyptus caesia subsp. caesia,eucalyptus caesia subsp. caesia
Eucalyptus_calcareana_455,Eucalyptus,calcareana,,455,,,,,455____,Eucalyptus calcareana ,eucalyptus calcareana
Eucalyptus_calcicola_subsp_calcicola_176,Eucalyptus,calcicola,calcicola,,,176,,,__176__,Eucalyptus calcicola subsp. calcicola,eucalyptus calcicola subsp. calcicola
Eucalyptus_caleyi_subsp_caleyi_651,Eucalyptus,caleyi,caleyi,,,651,,,__651__,Eucalyptus caleyi subsp. caleyi,eucalyptus caleyi subsp. caleyi
Eucalyptus_caliginosa_298,Eucalyptus,caliginosa,,298,,,,,298____,Eucalyptus caliginosa ,eucalyptus caliginosa
Eucalyptus_calycogona_subsp_calycogona_362,Eucalyptus,calycogona,calycogona,,,362,,,__362__,Eucalyptus calycogona subsp. calycogona,eucalyptus calycogona subsp. calycogona
Eucalyptus_camaldulensis_subsp_camaldulensis_ANBG_8401853,Eucalyptus,camaldulensis,camaldulensis,,,ANBG,8401853,,__ANBG_8401853_,Eucalyptus camaldulensis subsp. camaldulensis,eucalyptus camaldulensis subsp. camaldulensis
Eucalyptus_campaspe_522,Eucalyptus,campaspe,,522,,,,,522____,Eucalyptus campaspe ,eucalyptus campaspe
Eucalyptus_camphora_subsp_camphora_621,Eucalyptus,camphora,camphora,,,621,,,__621__,Eucalyptus camphora subsp. camphora,eucalyptus camphora subsp. camphora
