TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Eucalyptus croajingolensis,Eucalyptus croajingolensis,Eucalyptus croajingolensis,eucalyptus croajingolensis,,Species ,D.Nicolle,1744,"Cann River, Vic",37,33,56,149,4,40,142,16,Alive,Severe,Dead,?,None evident,,,,,Severe,,,1997
Eucalyptus crucis subsp. crucis,Eucalyptus crucis subsp. crucis,Eucalyptus crucis subsp. crucis,eucalyptus crucis subsp. crucis,,Subspecies,D.Nicolle,305,"Sandford Rock, WA",31,14,22,118,45,97,43,28,Dead,,,,,,,,,,,,1994
Eucalyptus crucis subsp. lanceolata,Eucalyptus crucis subsp. lanceolata,Eucalyptus crucis subsp. lanceolata,eucalyptus crucis subsp. lanceolata,,Subspecies,D.Nicolle,303,"Chiddarcooping Hill, WA",30,54,43,118,39,11,19,22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua,eucalyptus crucis subsp. praecipua,,Subspecies,D.Nicolle,1561,"Warrdagga Hill base, WA",29,23,16,117,30,22,88,16,Dead,,,,,,,,,,,,1996
Eucalyptus cullenii,Eucalyptus cullenii,Eucalyptus cullenii,eucalyptus cullenii,,Species ,D.Nicolle,1322,"Lakeland, Qld",15,57,42,144,49,55,94,26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus cunninghamii,Eucalyptus cunninghamii,Eucalyptus cunninghamii,eucalyptus cunninghamii,,Species ,D.Nicolle,2915,"Kings Tableland, NSW",33,46,14,150,22,35,196,25,Dead,,,,,,,,,,,,2000
Eucalyptus cuprea,Eucalyptus cuprea,Eucalyptus cuprea,eucalyptus cuprea,,Species ,D.Nicolle,3536,"Murchison River, WA",27,44,54,114,40,30,235,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus cupularis,Eucalyptus cupularis,Eucalyptus cupularis,eucalyptus cupularis,,Species ,D.Nicolle,1938,"Halls Creek, WA",18,15,24,127,42,41,136,36,Alive,None evident,None evident,?,,,,,,None evident,,,1997
Eucalyptus curtisii,Eucalyptus curtisii,Eucalyptus curtisii,eucalyptus curtisii,,Species ,D.Nicolle,2108,"Beerwah, Qld",26,51,52,152,59,6,159,9,Alive,Slight,Slight,?,None evident,,,,,None evident,,,1998
Eucalyptus cyanophylla,Eucalyptus cyanophylla,Eucalyptus cyanophylla,eucalyptus cyanophylla,,Species ,D.Nicolle,983,"Berri, SA",34,20,0,140,39,25,64,36,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
