"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"1406","Eucalyptus educta","eucalyptus educta","Eucalyptus educta","Eucalyptus educta","eucalyptus educta","","Species ","D.Nicolle","5600","Dromedaries Hill 2, WA",29,55,43,117,52,"39",318,10,"Dead","","","","","","","","","","","",2011,"R318/T10","Eucalyptus educta","eucalyptus educta","eucalyptus","educta",NA,"eucalyptus educta","Accepted","","L.A.S.Johnson & K.D.Hill","CANB 461013**","KT631666","KT631079","KT632848",""
"1407","Eucalyptus crucis subsp. lanceolata","eucalyptus crucis subsp. lanceolata","Eucalyptus crucis subsp. lanceolata","Eucalyptus crucis subsp. lanceolata","eucalyptus crucis subsp. lanceolata","","Subspecies","D.Nicolle","5603","Beeringgnurding Rock, WA",29,54,7,117,54,"40",317,2,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R317/T02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1408","Eucalyptus orbifolia
","eucalyptus orbifolia","Eucalyptus orbifolia","Eucalyptus orbifolia","eucalyptus orbifolia","","Species ","D.Nicolle","5606","Geeraning Rocks 1, WA",30,31,25,118,36,"4",318,29,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R318/T29","Eucalyptus orbifolia","eucalyptus orbifolia","eucalyptus","orbifolia",NA,"eucalyptus orbifolia","Accepted","","F.Muell.","Currency Creek 2774","KT631857","KT631246","KT633026","KT632440"
"1409","Eucalyptus orbifolia","eucalyptus orbifolia","Eucalyptus orbifolia","Eucalyptus orbifolia","eucalyptus orbifolia","","Species ","D.Nicolle","5607","Geeraning Rocks 2, WA",30,31,25,118,36,"4",314,29,"Dead","","","","","","","","","","","",2011,"R314/T29","Eucalyptus orbifolia","eucalyptus orbifolia","eucalyptus","orbifolia",NA,"eucalyptus orbifolia","Accepted","","F.Muell.","Currency Creek 2774","KT631857","KT631246","KT633026","KT632440"
"1410","Eucalyptus caesia subsp. magna","eucalyptus caesia subsp. magna","Eucalyptus caesia subsp. magna","Eucalyptus caesia","eucalyptus caesia","","Species ","D.Nicolle","5610","Yannymooning Hill, WA",30,42,51,118,33,"15",314,3,"Alive","None evident","Slight","?","None evident","","","","","Not applicable","Flowered","Flowered",2011,"R314/T03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1411","Eucalyptus caesia subsp. caesia","eucalyptus caesia subsp. caesia","Eucalyptus caesia subsp. caesia","Eucalyptus caesia","eucalyptus caesia","","Species ","D.Nicolle","5612","Mt Caroline, WA",31,47,32,117,38,"49",315,13,"Dead","","","","","","","","","","","",2011,"R315/T13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1412","Eucalyptus goniocalyx subsp. exposa","eucalyptus goniocalyx subsp. exposa","Eucalyptus goniocalyx subsp. exposa","Eucalyptus goniocalyx subsp. exposa","eucalyptus goniocalyx subsp. exposa","","Subspecies","D.Nicolle","565","Mt Aleck, SA",31,38,27,138,26,"15",49,34,"Alive","Moderate","Moderate","?","Very scattered","Secondary & tertiary branches","3 - 6 months","None evident","","Slight","Flowered","Flowered",1994,"R049/T34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1413","Eucalyptus campaspe","eucalyptus campaspe","Eucalyptus campaspe","Eucalyptus campaspe","eucalyptus campaspe","","Species ","D.Nicolle","5660","Coolgardie far east, WA",30,58,48,121,14,"53",316,30,"Dead","","","","","","","","","","","",2011,"R316/T30","Eucalyptus campaspe","eucalyptus campaspe","eucalyptus","campaspe",NA,"eucalyptus campaspe","Accepted","","S.Moore","Currency Creek 2147","KT631571","KT631003","KT632762","KT632194"
"1414","Eucalyptus rigidula ","eucalyptus rigidula","Eucalyptus rigidula","Eucalyptus rigidula","eucalyptus rigidula","","Species ","D.Nicolle","5671","Koolynobbing, WA",30,30,54,119,35,"39",315,9,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R315/T09","Eucalyptus rigidula","eucalyptus rigidula","eucalyptus","rigidula",NA,"eucalyptus rigidula","Accepted","","Cambage & Blakely","Currency Creek 244","KT631946","KT631318","KT633108","KT632519"
"1415","Eucalyptus formanii subsp. 'broad-leaf'
","eucalyptus formanii subsp. broad-leaf","Eucalyptus formanii subsp. Broad-leaf","Eucalyptus formanii","eucalyptus formanii","","Species","D.Nicolle","5672","Helena & Aroura Range, WA",30,21,50,119,38,"2",318,25,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R318/T25","Eucalyptus formanii","eucalyptus formanii","eucalyptus","formanii",NA,"eucalyptus formanii","Accepted","","C.A.Gardner","Waite Arboretum 1655","KT631692","KT631102","KT632874",""
