"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"1416","Eucalyptus formanii subsp. 'broad-leaf'
","eucalyptus formanii subsp. broad-leaf","Eucalyptus formanii subsp. Broad-leaf","Eucalyptus formanii","eucalyptus formanii","","Species","D.Nicolle","5684","Hunt Range, WA",30,3,10,119,50,"6",319,4,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R319/T04","Eucalyptus formanii","eucalyptus formanii","eucalyptus","formanii",NA,"eucalyptus formanii","Accepted","","C.A.Gardner","Waite Arboretum 1655","KT631692","KT631102","KT632874",""
"1417","Eucalyptus grasbyi","eucalyptus grasbyi","Eucalyptus grasbyi","Eucalyptus oleosa","eucalyptus oleosa","","Species ","D.Nicolle","5689","Mt Manning Range, WA",30,1,10,119,40,"44",318,22,"Alive","None evident","Dead","","","","","","","Not applicable","Flowered","Flowered",2011,"R318/T22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1418","Eucalyptus cinerea subsp. triplex (subsp. victoriensis)","eucalyptus cinerea subsp. triplex","Eucalyptus cinerea subsp. triplex","Eucalyptus cinerea subsp. triplex","eucalyptus cinerea subsp. triplex","","Subspecies","D.Nicolle","569","Beechworth, Vic",36,18,26,146,40,"4",56,13,"Alive","Moderate","Moderate","?","None evident","","","","","Moderate","Flowered","Flowered",1994,"R056/T13","Eucalyptus cinerea subsp. triplex","eucalyptus cinerea","eucalyptus","cinerea","triplex","eucalyptus cinerea subsp. triplex","Accepted","","(L.A.S.Johnson & K.D.Hill)","ANBG 8703938","KT631591","KT631019","KT632777","KT632210"
"1419","Eucalyptus formanii subsp. formanii","eucalyptus formanii subsp. formanii","Eucalyptus formanii subsp. formanii","Eucalyptus formanii","eucalyptus formanii","","Species ","D.Nicolle","5693","Olby Rock, WA",29,57,18,119,27,"19",317,5,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","Budded",2011,"R317/T05","Eucalyptus formanii","eucalyptus formanii","eucalyptus","formanii",NA,"eucalyptus formanii","Accepted","","C.A.Gardner","Waite Arboretum 1655","KT631692","KT631102","KT632874",""
"1420","Eucalyptus lansdowneana","eucalyptus lansdowneana","Eucalyptus lansdowneana","Eucalyptus lansdowneana","eucalyptus lansdowneana","","Species ","D.Nicolle","57","Scrubby Peak, SA",32,35,NA,135,15,"",52,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R052/T33","Eucalyptus lansdowneana","eucalyptus lansdowneana","eucalyptus","lansdowneana",NA,"eucalyptus lansdowneana","Accepted","","F.Muell. & J.E.Br.","Currency Creek 57","KT631763","AF058476","KT632940","KT632364"
"1421","Eucalyptus bridgesiana","eucalyptus bridgesiana","Eucalyptus bridgesiana","Eucalyptus bridgesiana","eucalyptus bridgesiana","","Species ","D.Nicolle","570","Beechworth, Vic",36,19,13,146,40,"45",60,33,"Alive","Moderate","Slight","?","None evident","","","","","Moderate","","",1994,"R060/T33","Eucalyptus bridgesiana","eucalyptus bridgesiana","eucalyptus","bridgesiana",NA,"eucalyptus bridgesiana","Accepted","","F.Muell. ex R.T.Baker","Currency Creek 570","KT631556","KT630992","KT632747",""
"1422","Eucalyptus beardiana ","eucalyptus beardiana","Eucalyptus beardiana","Eucalyptus beardiana","eucalyptus beardiana","","Species ","D.Nicolle","5708","Mowawa, WA",28,31,26,115,28,"11",314,9,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2011,"R314/T09","Eucalyptus beardiana","eucalyptus beardiana","eucalyptus","beardiana",NA,"eucalyptus beardiana","Accepted","","Brooker & Blaxell","CANB 632554**","KT631537","KT630976","","KT632166"
"1423","Eucalyptus dives","eucalyptus dives","Eucalyptus dives","Eucalyptus dives","eucalyptus dives","","Species ","D.Nicolle","572","Mt Buffalo, Vic",36,41,38,146,49,"28",74,17,"Dead","","","","","","","","","Died in 2006","","",1995,"R074/T17","Eucalyptus dives","eucalyptus dives","eucalyptus","dives",NA,"eucalyptus dives","Accepted","","Schauer","ANBG 7809979","KT631654","AF058503","KT632836","KT632265"
"1424","Eucalyptus delegatensis subsp. delegatensis","eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","eucalyptus delegatensis subsp. delegatensis","","Subspecies","D.Nicolle","573","Mt Buffalo, Vic",36,42,55,146,47,"31",162,1,"Dead","","","","","","","","","","","",1998,"R162/T01","Eucalyptus delegatensis subsp. delegatensis","eucalyptus delegatensis","eucalyptus","delegatensis","delegatensis","eucalyptus delegatensis subsp. delegatensis","Accepted","","F.Muell. ex R.T.Baker","GenBank","KT631638","AF058480","",""
"1425","Corymbia lenziana","corymbia lenziana","Corymbia lenziana","Corymbia lenziana","corymbia lenziana","","Species ","D.Nicolle","5733","Kennedy Range, WA",24,57,16,114,56,"19",319,9,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R319/T09","Corymbia lenziana","corymbia lenziana","corymbia","lenziana",NA,"corymbia lenziana","Accepted","","(D.J.Carr & S.G.M.Carr) K.D.Hill","CANB 794064**","KT631465","","KT632667","KT632108"
"1426","Eucalyptus mitchelliana","eucalyptus mitchelliana","Eucalyptus mitchelliana","Eucalyptus mitchelliana","eucalyptus mitchelliana","","Species ","D.Nicolle","574","Mt Buffalo, Vic",36,43,21,146,48,"55",56,35,"Dead","","","","","","","","","","","",1994,"R056/T35","Eucalyptus mitchelliana","eucalyptus mitchelliana","eucalyptus","mitchelliana",NA,"eucalyptus mitchelliana","Accepted","","Cambage","Currency Creek 574","KT631819","FJ494720","KT632991","KT632413"
"1427","Eucalyptus eudesmioides","eucalyptus eudesmioides","Eucalyptus eudesmioides","Eucalyptus eudesmioides","eucalyptus eudesmioides","","Species ","D.Nicolle","5740","Kennedy Range, WA",24,29,53,114,59,"52",316,7,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","Budded",2011,"R316/T07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1428","Eucalyptus camaldulensis subsp. refulgens","eucalyptus camaldulensis subsp. refulgens","Eucalyptus camaldulensis subsp. refulgens","Eucalyptus camaldulensis subsp. refulgens","eucalyptus camaldulensis subsp. refulgens","","Subspecies","D.Nicolle","5747","Lyons River, WA",23,57,26,116,7,"36",311,13,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2011,"R311/T13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1429","Eucalyptus radiata subsp. radiata","eucalyptus radiata subsp. radiata","Eucalyptus radiata subsp. radiata","Eucalyptus radiata subsp. radiata","eucalyptus radiata subsp. radiata","","Subspecies","D.Nicolle","575","Mt Buffalo, Vic",36,42,3,146,51,"10",56,16,"Dead","","","","","","","","","","","",1994,"R056/T16","Eucalyptus radiata subsp. radiata","eucalyptus radiata","eucalyptus","radiata","radiata","eucalyptus radiata subsp. radiata","Accepted","","A.Cunn. ex DC.","Currency Creek 602","KT631929","KT631303","KT633092","KT632505"
"1430","Corymbia deserticola subsp. deserticola","corymbia deserticola subsp. deserticola","Corymbia deserticola subsp. deserticola","Corymbia deserticola subsp. deserticola","corymbia deserticola subsp. deserticola","","Subspecies","D.Nicolle","5750","Mt Augustus, WA",24,19,33,116,50,"35",317,25,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R317/T25","Corymbia deserticola subsp. deserticola","corymbia deserticola","corymbia","deserticola","deserticola","corymbia deserticola subsp. deserticola","Accepted","","(S.G.M.Carr) K.D.Hill &","CANB 804353**","KT631444","DQ993135","KT632648",""
"1431","Eucalyptus camphora subsp. humeana","eucalyptus camphora subsp. humeana","Eucalyptus camphora subsp. humeana","Eucalyptus camphora subsp. humeana","eucalyptus camphora subsp. humeana","","Subspecies","D.Nicolle","576","Mt Buffalo, Vic",36,41,52,146,51,"24",14,46,"Dead","","","","","","","","","","","",1994,"R014/T46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1432","Eucalyptus aridomontana
","eucalyptus aridomontana","Eucalyptus aridomontana","Eucalyptus aridimontana","eucalyptus aridimontana","","Species ","D.Nicolle","5766","Mt Nameless 2, WA",22,43,20,117,45,"20",319,11,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R319/T11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1433","Eucalyptus chapmaniana","eucalyptus chapmaniana","Eucalyptus chapmaniana","Eucalyptus chapmaniana","eucalyptus chapmaniana","","Species ","D.Nicolle","577","Bright, Vic",36,43,13,147,7,"1",59,23,"Dead","","","","","","","","","Died in 2006","","",1994,"R059/T23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1434","Eucalyptus aridomontana ","eucalyptus aridomontana","Eucalyptus aridomontana","Eucalyptus aridimontana","eucalyptus aridimontana","","Species ","D.Nicolle","5778","Mt Sheila, WA",22,13,17,117,36,"8",316,25,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R316/T25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1435","Eucalyptus kingsmillii","eucalyptus kingsmillii","Eucalyptus kingsmillii","Eucalyptus kingsmillii","eucalyptus kingsmillii","","Species ","D.Nicolle","5779","Mt Sheila, WA",22,13,17,117,36,"8",317,11,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R317/T11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1436","Eucalyptus pauciflora subsp. hedraia","eucalyptus pauciflora subsp. hedraia","Eucalyptus pauciflora subsp. hedraia","Eucalyptus pauciflora subsp. hedraia","eucalyptus pauciflora subsp. hedraia","","Subspecies","D.Nicolle","578","Falls Creek 1, Vic",36,51,55,147,17,"2",72,40,"Dead","","","","","","","","","","","",1995,"R072/T40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1437","Eucalyptus dalrympleana subsp. dalrympleana","eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana","Eucalyptus dalrympleana subsp. dalrympleana","eucalyptus dalrympleana subsp. dalrympleana","","Subspecies","D.Nicolle","579","Alpine National Park, Vic",36,57,23,147,23,"14",59,27,"Dead","","","","","","","","","Died in 2006","","",1994,"R059/T27","Eucalyptus dalrympleana subsp. dalrympleana","eucalyptus dalrympleana","eucalyptus","dalrympleana","dalrympleana","eucalyptus dalrympleana subsp. dalrympleana","Accepted","","Maiden","ANBG 7804378","KT631629","KT631049","KT632814",""
"1438","Eucalyptus oligantha","eucalyptus oligantha","Eucalyptus oligantha","Eucalyptus oligantha","eucalyptus oligantha","","Species ","D.Nicolle","5804","Mt Elizabeth, WA",16,22,1,126,9,"48",312,18,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R312/T18","Eucalyptus oligantha","eucalyptus oligantha","eucalyptus","oligantha",NA,"eucalyptus oligantha","Accepted","","Schauer","CANB 785536**","KT631851","KT631241","KT633021",""
"1439","Corymbia papillosa (subsp. globifera)","corymbia papillosa","Corymbia papillosa","Corymbia papillosa","corymbia papillosa","","Species ","D.Nicolle","5806","Walcott Inlet, WA",16,0,26,125,33,"21",311,5,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R311/T05","Corymbia papillosa","corymbia papillosa","corymbia","papillosa",NA,"corymbia papillosa","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 564789**","KT631470","","",""
"1440","Eucalyptus mannifera subsp. 'alpine Victoria'","eucalyptus mannifera subsp. alpine victoria","Eucalyptus mannifera subsp. Alpine Victoria","Eucalyptus mannifera","eucalyptus mannifera","","Species ","D.Nicolle","581","Omeo, Vic",36,57,38,147,28,"46",58,17,"Alive","Severe","Severe","?","Very scattered","Secondary branches","3 - 6 months","None evident","","Moderate","Flowered","Flowered",1994,"R058/T17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1441","Eucalyptus stellulata","eucalyptus stellulata","Eucalyptus stellulata","Eucalyptus stellulata","eucalyptus stellulata","","Species ","D.Nicolle","582","Omeo, Vic",37,0,47,147,34,"9",16,44,"Alive","Moderate","Severe","?","None evident","","","","","None evident","Flowered","Flowered",1994,"R016/T44","Eucalyptus stellulata","eucalyptus stellulata","eucalyptus","stellulata",NA,"eucalyptus stellulata","Accepted","","Sieber ex DC.","ANBG 9102880","KT631988","KT631348","KT633144","KT632556"
"1442","Eucalyptus nortonii","eucalyptus nortonii","Eucalyptus nortonii","Eucalyptus nortonii","eucalyptus nortonii","","Species ","D.Nicolle","583","Bindi, Vic",37,11,28,147,48,"54",50,25,"Alive","None evident","Moderate","??","None evident","","","","","Moderate","Flowered","Flowered",1994,"R050/T25","Eucalyptus nortonii","eucalyptus nortonii","eucalyptus","nortonii",NA,"eucalyptus nortonii","Accepted","","(Blakely) L.A.S.Johnson","Currency Creek 2951","KT631838","KT631230","KT633009",""
"1443","Eucalyptus perriniana","eucalyptus perriniana","Eucalyptus perriniana","Eucalyptus perriniana","eucalyptus perriniana","","Species ","D.Nicolle","584","Nunniong Plateau, Vic",37,5,37,148,1,"36",61,37,"Dead","","","","","","","","","","","",1994,"R061/T37","Eucalyptus perriniana","eucalyptus perriniana","eucalyptus","perriniana",NA,"eucalyptus perriniana","Accepted","","F.Muell. ex Rodway","Currency Creek 584","KT631882","KT631264","AM489985","KT632464"
"1444","Corymbia cliftoniana","corymbia cliftoniana","Corymbia cliftoniana","Corymbia cliftoniana","corymbia cliftoniana","","Species ","D.Nicolle","5851","Bungle Bungles, WA",17,29,50,128,22,"31",316,4,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R316/T04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1445","Corymbia cadophora subsp. polychroma ","corymbia cadophora subsp. polychroma","Corymbia cadophora subsp. polychroma","Corymbia cadophora subsp. polychroma","corymbia cadophora subsp. polychroma","","Subspecies","D.Nicolle","5858","Ragged Range, WA",16,37,51,128,15,"58",316,29,"Dead","","","","","","","","","","","",2011,"R316/T29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1446","Eucalyptus elaeophloia","eucalyptus elaeophloia","Eucalyptus elaeophloia","Eucalyptus elaeophloia","eucalyptus elaeophloia","","Species ","D.Nicolle","586","Nunniong Plateau 1, Vic",37,5,13,148,4,"25",71,36,"Dead","","","","","","","","","Died in 2006","","",1995,"R071/T36","Eucalyptus elaeophloia","eucalyptus elaeophloia","eucalyptus","elaeophloia",NA,"eucalyptus elaeophloia","Accepted","","Chappill, Crisp & Prober","Currency Creek 586","KT631668","KT631081","KT632850",""
"1447","Eucalyptus cunninghamii","eucalyptus cunninghamii","Eucalyptus cunninghamii","Eucalyptus cunninghamii","eucalyptus cunninghamii","","Species ","D.Nicolle","5868","Pulpit Rock 2, NSW",33,44,5,150,18,"53",292,13,"Alive","Dead","","","","","","","1 - 2 years","Not applicable","","",2015,"R292/T13","Eucalyptus cunninghamii","eucalyptus cunninghamii","eucalyptus","cunninghamii",NA,"eucalyptus cunninghamii","Accepted","","Sweet","ANBG 9806132","KT631619","KT631041","KT632805","KT632234"
"1448","Eucalyptus dendromorpha","eucalyptus dendromorpha","Eucalyptus dendromorpha","Eucalyptus dendromorpha","eucalyptus dendromorpha","","Species ","D.Nicolle","5869","Blue Mountains, NSW",33,43,58,150,18,"43",330,3,"Alive","Dead","","","","","","","1 - 2 years","Not applicable","","",2015,"R330/T03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1449","Eucalyptus blaxlandii","eucalyptus blaxlandii","Eucalyptus blaxlandii","Eucalyptus blaxlandii","eucalyptus blaxlandii","","Species ","D.Nicolle","5872","Mt Wilson, NSW",33,30,35,150,21,"58",162,3,"Alive","Dead","","","","","","","1 - 2 years","Not applicable","","",2015,"R162/T03","Eucalyptus blaxlandii","eucalyptus blaxlandii","eucalyptus","blaxlandii",NA,"eucalyptus blaxlandii","Accepted","","Maiden & Cambage","ANBG 8001329","KT631544","KT630983","KT632735","KT632172"
"1450","Eucalyptus glaucescens","eucalyptus glaucescens","Eucalyptus glaucescens","Eucalyptus glaucescens","eucalyptus glaucescens","","Species ","D.Nicolle","588","Mt Kosciuszko, NSW",36,21,48,148,24,"8",51,17,"Alive","Dead","","","","","","","6 - 12 months","Severe","","",1994,"R051/T17","Eucalyptus glaucescens","eucalyptus glaucescens","eucalyptus","glaucescens",NA,"eucalyptus glaucescens","Accepted","","Maiden & Blakely","Currency Creek 588","KT631706","KT631115","KT632887","KT632315"
"1451","Eucalyptus pauciflora subsp. niphophila","eucalyptus pauciflora subsp. niphophila","Eucalyptus pauciflora subsp. niphophila","Eucalyptus pauciflora subsp. niphophila","eucalyptus pauciflora subsp. niphophila","","Subspecies","D.Nicolle","589","Smiggin Holes, NSW",36,22,24,148,24,"17",163,9,"Dead","","","","","","","","","","","",1998,"R163/T09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1452","Eucalyptus lacrimans","eucalyptus lacrimans","Eucalyptus lacrimans","Eucalyptus lacrimans","eucalyptus lacrimans","","Species ","D.Nicolle","590","Adaminaby 1, NSW",36,3,19,148,50,"9",59,8,"Dead","","","","","","","","","","","",1994,"R059/T08","Eucalyptus lacrimans","eucalyptus lacrimans","eucalyptus","lacrimans",NA,"eucalyptus lacrimans","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 590","KT631758","EF051495","KT632936","KT632360"
"1453","Eucalyptus angulosa (SA variant)","eucalyptus angulosa (sa variant)","Eucalyptus angulosa (SA variant)","Eucalyptus angulosa","eucalyptus angulosa","","Species ","D.Nicolle","5905","Point Bollingbroke, SA",34,31,8,136,6,"24",290,7,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","",2013,"R290/T07","Eucalyptus angulosa","eucalyptus angulosa","eucalyptus","angulosa",NA,"eucalyptus angulosa","Accepted","","Schauer","Currency Creek 939","KT631508","KT630950","","KT632141"
"1454","Eucalyptus viminalis subsp. cygnetensis","eucalyptus viminalis subsp. cygnetensis","Eucalyptus viminalis subsp. cygnetensis","Eucalyptus viminalis subsp. cygnetensis","eucalyptus viminalis subsp. cygnetensis","","Subspecies","D.Nicolle","5907","Port Lincoln 2, SA",34,49,32,135,41,"17",248,12,"Alive","Dead","","","","","","","1 - 2 years","Not applicable","","",2013,"R248/T12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1455","Eucalyptus rugosa","eucalyptus rugosa","Eucalyptus rugosa","Eucalyptus rugosa","eucalyptus rugosa","","Species ","D.Nicolle","5908","Sleaford Bay 2, SA",34,54,53,135,40,"45",290,15,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R290/T15","Eucalyptus rugosa","eucalyptus rugosa","eucalyptus","rugosa",NA,"eucalyptus rugosa","Accepted","","R.Br. ex Blakely","Currency Creek 3179","KT631955","KT631324","KT633116","KT632528"
"1456","Eucalyptus parvula","eucalyptus parvula","Eucalyptus parvula","Eucalyptus parvula","eucalyptus parvula","","Species ","D.Nicolle","591","Numeralla, NSW",36,18,28,149,30,"41",15,44,"Dead","","","","","","","","","","","",1994,"R015/T44","Eucalyptus parvula","eucalyptus parvula","eucalyptus","parvula",NA,"eucalyptus parvula","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 591","KT631874","KT631258","KT633043","KT632456"
"1457","Eucalyptus behriana","eucalyptus behriana","Eucalyptus behriana","Eucalyptus behriana","eucalyptus behriana","","Species ","D.Nicolle","5915","Cummins, SA",34,11,3,135,43,"43",284,5,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R284/T05","Eucalyptus behriana","eucalyptus behriana","eucalyptus","behriana",NA,"eucalyptus behriana","Accepted","","F.Muell.","Currency Creek 3183","KT631538","KT630977","KT632729","KT632167"
"1458","Eucalyptus paliformis","eucalyptus paliformis","Eucalyptus paliformis","Eucalyptus paliformis","eucalyptus paliformis","","Species ","D.Nicolle","592","Wadbilliga Trig, NSW",36,20,36,149,35,"40",56,4,"Dead","","","","","","","","","","","",1994,"R056/T04","Eucalyptus paliformis","eucalyptus paliformis","eucalyptus","paliformis",NA,"eucalyptus paliformis","Accepted","","L.A.S.Johnson & Blaxell","CANB 460597**","KT631869","EF051497","KT633038","KT632452"
"1459","Eucalyptus phenax subsp. phenax (hills variant)","eucalyptus phenax subsp. phenax","Eucalyptus phenax subsp. phenax","Eucalyptus phenax subsp. phenax","eucalyptus phenax subsp. phenax","","Subspecies","D.Nicolle","5924","Darke Range, SA",33,29,29,136,10,"21",280,5,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R280/T05","Eucalyptus phenax subsp. phenax","eucalyptus phenax","eucalyptus","phenax","phenax","eucalyptus phenax subsp. phenax","Accepted","","Brooker & Slee","Currency Creek 929","KT631888","KT631270","KT633055","KT632469"
"1460","Eucalyptus cajuputea","eucalyptus cajuputea","Eucalyptus cajuputea","Eucalyptus cajuputea","eucalyptus cajuputea","","Species ","D.Nicolle","5929","Gawler Ranges, SA",32,34,50,135,34,"51",241,12,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"R241/T12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1461","Eucalyptus kybeanensis","eucalyptus kybeanensis","Eucalyptus kybeanensis","Eucalyptus kybeanensis","eucalyptus kybeanensis","","Species ","D.Nicolle","593","Wadbilliga Trig, NSW",36,20,31,149,36,"0",60,5,"Dead","","","","","","","","","","","",1994,"R060/T05","Eucalyptus kybeanensis","eucalyptus kybeanensis","eucalyptus","kybeanensis",NA,"eucalyptus kybeanensis","Accepted","","Maiden & Cambage","Waite Arboretum 2469","KT631757","KT631160","KT632935","KT632359"
"1462","Eucalyptus cretata - E. dumosa intergrade","eucalyptus cretata - e. dumosa intergrade","Eucalyptus cretata - E. dumosa intergrade","","","","Intergrade","D.Nicolle","5932","Gawler Ranges, SA",32,32,43,135,30,"19",244,2,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R244/T02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1463","Eucalyptus lansdowneana","eucalyptus lansdowneana","Eucalyptus lansdowneana","Eucalyptus lansdowneana","eucalyptus lansdowneana","","Species ","D.Nicolle","5933","Conical Hill, SA",32,38,25,135,34,"24",288,11,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R288/T11","Eucalyptus lansdowneana","eucalyptus lansdowneana","eucalyptus","lansdowneana",NA,"eucalyptus lansdowneana","Accepted","","F.Muell. & J.E.Br.","Currency Creek 57","KT631763","AF058476","KT632940","KT632364"
"1464","Eucalyptus trivalva","eucalyptus trivalva","Eucalyptus trivalva","Eucalyptus trivalva","eucalyptus trivalva","","Species ","D.Nicolle","5936","Lake Everard, SA",31,42,13,134,51,"48",291,5,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","",2013,"R291/T05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1465","Eucalyptus youngiana","eucalyptus youngiana","Eucalyptus youngiana","Eucalyptus youngiana","eucalyptus youngiana","","Species ","D.Nicolle","5938","Nalara Rock, SA",31,36,16,134,26,"47",291,10,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"R291/T10","Eucalyptus youngiana","eucalyptus youngiana","eucalyptus","youngiana",NA,"eucalyptus youngiana","Accepted","","F.Muell.","Currency Creek 523","KT632057","KT631406","KT633211","KT632616"
"1466","Eucalyptus moorei var. latiuscula","eucalyptus moorei subsp. 'latiuscula' ms","Eucalyptus moorei subsp. 'latiuscula' ms","Eucalyptus moorei subsp. moorei","eucalyptus moorei subsp. moorei","","Subspecies","D.Nicolle","594","Wadbilliga Trig, NSW",36,20,38,149,36,"4",58,8,"Dead","","","","","","","","","","","",1994,"R058/T08","Eucalyptus moorei subsp. moorei","eucalyptus moorei","eucalyptus","moorei","moorei","eucalyptus moorei subsp. moorei","Accepted","","Maiden & Cambage","ANBG 9600762","KT631822","KT631217","KT632994","KT632416"
"1467","Eucalyptus fraxinoides","eucalyptus fraxinoides","Eucalyptus fraxinoides","Eucalyptus fraxinoides","eucalyptus fraxinoides","","Species ","D.Nicolle","595","Wadbilliga Trig, NSW",36,20,38,149,36,"4",194,19,"Dead","","","","","","","","","","","",2000,"R194/T19","Eucalyptus fraxinoides","eucalyptus fraxinoides","eucalyptus","fraxinoides",NA,"eucalyptus fraxinoides","Accepted","","H.Deane & Maiden","ANBG 751650","KT631695","","KT632877","KT632302"
"1468","Eucalyptus fastigata","eucalyptus fastigata","Eucalyptus fastigata","Eucalyptus fastigata","eucalyptus fastigata","","Species ","D.Nicolle","596","Badja, NSW",36,1,53,149,31,"52",15,36,"Dead","","","","","","","","","","","",1994,"R015/T36","Eucalyptus fastigata","eucalyptus fastigata","eucalyptus","fastigata",NA,"eucalyptus fastigata","Accepted","","H.Deane & Maiden","ANBG 8603812","KT631685","KT631095","KT632867","KT632293"
"1469","Eucalyptus brachycalyx - E. laevis intergrade","eucalyptus brachycalyx - e. laevis intergrade","Eucalyptus brachycalyx - E. laevis intergrade","","","","Intergrade","D.Nicolle","5966","Eyre Bird Observatory, WA",32,3,54,126,26,"16",276,9,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R276/T09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1470","Eucalyptus olsenii","eucalyptus olsenii","Eucalyptus olsenii","Eucalyptus olsenii","eucalyptus olsenii","","Species ","D.Nicolle","597","Dampier Trig, NSW",36,0,6,149,39,"27",51,25,"Dead","","","","","","","","","","","",1994,"R051/T25","Eucalyptus olsenii","eucalyptus olsenii","eucalyptus","olsenii",NA,"eucalyptus olsenii","Accepted","","L.A.S.Johnson & Blaxell","ANBG 762144","KT631853","KT631243","KT633023","KT632437"
"1471","Eucalyptus eremophila (Twilight Cove variant)","eucalyptus eremophila","Eucalyptus eremophila","Eucalyptus eremophila","eucalyptus eremophila","","Species ","D.Nicolle","5976","Twilight Cove, WA",32,16,59,125,57,"19",274,5,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R274/T05","Eucalyptus eremophila","eucalyptus eremophila","eucalyptus","eremophila",NA,"eucalyptus eremophila","Accepted","","(Diels) Maiden","CANB 794016**","KT631673","KT631086","KT632855","KT632281"
"1472","Eucalyptus smithii","eucalyptus smithii","Eucalyptus smithii","Eucalyptus smithii","eucalyptus smithii","","Species ","D.Nicolle","598","Mother Woila, NSW",36,0,15,149,39,"28",51,16,"Alive","Moderate","Moderate","?","None evident","","","","","Moderate","","",1994,"R051/T16","Eucalyptus smithii","eucalyptus smithii","eucalyptus","smithii",NA,"eucalyptus smithii","Accepted","","F.Muell. ex R.T.Baker","Currency Creek 598","KT631978","KT631341","KT633137","KT632548"
