"","TaxonoriginalDN","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","FieldID","DNNumber"
"61","Eucalyptus gomphocephala","Eucalyptus gomphocephala","Eucalyptus gomphocephala","eucalyptus gomphocephala","","Species ","D.Nicolle","1148","Bunbury, WA",33,30,16,115,34,"4",69,11,"Alive","Dead","","","","","","","6 - 12 months","Severe","","",1995,"R047/T35","CCA0699",NA
"62","Eucalyptus aspersa","Eucalyptus aspersa","Eucalyptus aspersa","eucalyptus aspersa","","Species ","D.Nicolle","1149","North Bannister, WA",32,30,40,116,22,"27",73,13,"Dead","","","","","","","","","","","",1995,"R139/T03","CCA2993",1890
"63","Eucalyptus optima","Eucalyptus optima","Eucalyptus optima","eucalyptus optima","","Species ","D.Nicolle","115","Balladonia, WA",32,17,34,123,29,"50",27,8,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T08","CCA0431",115
"64","Eucalyptus laeliae","Eucalyptus laeliae","Eucalyptus laeliae","eucalyptus laeliae","","Species ","D.Nicolle","1150","Serpentine, WA",32,22,7,116,0,"31",64,29,"Alive","Moderate","None evident","??","None evident","","","","","None evident","Flowered","Flowered",1995,"R064/T28","CCA1074",1150
"65","Eucalyptus foecunda subsp. foecunda","Eucalyptus foecunda subsp. foecunda","Eucalyptus foecunda","eucalyptus foecunda","","Species ","D.Nicolle","1152","Bold Park, WA",31,56,31,115,46,"47",62,27,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"R062/T25","CCA1006",1152
"66","Eucalyptus decipiens","Eucalyptus decipiens","Eucalyptus decipiens","eucalyptus decipiens","","Species ","D.Nicolle","1153","Perth, WA",31,57,NA,115,46,"",73,11,"Alive","Severe","Severe","?","Scattered","Basal + primary branches","3 - 6 months","None evident","6 - 12 months","None evident","Flowered","Flowered",1995,"R024/T33","CCA0375",227
"67","Eucalyptus absita","Eucalyptus absita","Eucalyptus absita","eucalyptus absita","","Species ","D.Nicolle","1154","Badgingarra, WA",30,26,13,115,34,"32",68,10,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"R068/T09","CCA1183",1154
"68","Eucalyptus drummondii","Eucalyptus drummondii","Eucalyptus drummondii","eucalyptus drummondii","","Species ","D.Nicolle","1156","Herschel Range, WA",30,9,49,115,37,"44",67,26,"Alive","Moderate","Moderate","?","Scattered","Secondary & tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1995,"R067/T25","CCA1165",1156
"69","Eucalyptus fraseri subsp. fraseri","Eucalyptus fraseri subsp. fraseri","Eucalyptus fraseri subsp. fraseri","eucalyptus fraseri subsp. fraseri","","Subspecies","D.Nicolle","116","Balladonia, WA",32,17,1,123,28,"56",13,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R013/T01","CCA0115",116
"70","Corymbia calophylla","Corymbia calophylla","Corymbia calophylla","corymbia calophylla","","Species ","D.Nicolle","1160","Cockleshell Gully, WA",30,8,27,115,6,"57",72,28,"Alive","Moderate","Moderate","?","None evident","","","","","Slight","","",1995,"R072/T27","CCA1290",1160
"71","Eucalyptus conveniens","Eucalyptus conveniens","Eucalyptus conveniens","eucalyptus conveniens","","Species ","D.Nicolle","1162","Dongara, WA",29,28,3,115,19,"0",68,18,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R068/T17","CCA1189",1162
"72","Eucalyptus accedens","Eucalyptus accedens","Eucalyptus accedens","eucalyptus accedens","","Species ","D.Nicolle","1164","Dongara, WA",29,26,1,115,20,"19",66,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R066/T01","CCA1118",1164
"73","Eucalyptus loxophleba subsp. supralaevis","Eucalyptus loxophleba subsp. supralaevis","Eucalyptus loxophleba subsp. supralaevis","eucalyptus loxophleba subsp. supralaevis","","Subspecies","D.Nicolle","1165","Dongara, WA",29,12,57,115,18,"27",62,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R062/T09","CCA0992",1165
"74","Eucalyptus diminuta","Eucalyptus diminuta","Eucalyptus diminuta","eucalyptus diminuta","","Species ","D.Nicolle","1168","Binnu, WA",28,0,38,114,40,"24",62,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R025/T39","CCA0408",271
"75","Eucalyptus terebra","Eucalyptus terebra","Eucalyptus terebra","eucalyptus terebra","","Species ","D.Nicolle","117","Balladonia, WA",32,16,29,123,27,"56",13,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R013/T26","CCA0128",117
"76","Eucalyptus gittinsii subsp. gittinsii","Eucalyptus gittinsii subsp. gittinsii","Eucalyptus gittinsii subsp. gittinsii","eucalyptus gittinsii subsp. gittinsii","","Subspecies","D.Nicolle","1170","Mary Springs, WA",27,45,50,114,40,"49",68,4,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R068/T04","CCA1179",1170
"77","Eucalyptus mannensis subsp. vespertina","Eucalyptus mannensis subsp. vespertina","Eucalyptus mannensis subsp. vespertina","eucalyptus mannensis subsp. vespertina","","Subspecies","D.Nicolle","1171","Shark Bay, WA",27,21,13,114,37,"49",62,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R062/T31","CCA1010",1171
"78","Eucalyptus obtusiflora subsp. obtusiflora","Eucalyptus obtusiflora subsp. obtusiflora","Eucalyptus obtusiflora subsp. obtusiflora","eucalyptus obtusiflora subsp. obtusiflora","","Subspecies","D.Nicolle","1173","Coburn Station, WA",26,35,51,114,15,"1",62,3,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R062/T03","CCA0986",1173
"79","Eucalyptus roycei","Eucalyptus roycei","Eucalyptus roycei","eucalyptus roycei","","Species ","D.Nicolle","1175","Coburn Station, WA",26,42,10,114,10,"57",63,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R063/T21","CCA1037",1175
"80","Eucalyptus fruticosa","Eucalyptus fruticosa","Eucalyptus fruticosa","eucalyptus fruticosa","","Species ","D.Nicolle","1177","Lake Macleod, WA",24,3,7,113,28,"16",62,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R062/T05","CCA0988",1177
"81","Eucalyptus victrix","Eucalyptus victrix","Eucalyptus victrix","eucalyptus victrix","","Species","D.Nicolle","1178","Lake Macleod,  WA",24,1,4,113,29,"17",63,18,"Alive","None evident","None evident","?","","","","","","None evident","","",1995,"R009/T14","CCA0005",NA
