new.tip_unique.ID,node
eucalyptus_chloroclada_6464,367
eucalyptus_chloroclada_6806,367
eucalyptus_chlorophylla_1315,481
eucalyptus_chlorophylla_1334,481
eucalyptus_cinerea_subsp._cinerea_3211,417
eucalyptus_cinerea_subsp._cinerea_6277,417
eucalyptus_cinerea_subsp._triplex_(subsp._victoriensis)_569,417
eucalyptus_cladocalyx_subsp._cladocalyx_3182,534
eucalyptus_cladocalyx_subsp._crassa_1053,534
eucalyptus_cladocalyx_subsp._petila_2569,534
eucalyptus_cladocalyx_x_e._peninsularis_1683,534
eucalyptus_clelandiorum_333,556
eucalyptus_clelandiorum_7295,556
eucalyptus_clivicola_193,703
eucalyptus_clivicola_3779,703
eucalyptus_cloeziana_696,119
eucalyptus_cneorifolia_75,262
eucalyptus_codonocarpa_673,217
eucalyptus_codonocarpa_2097,217
eucalyptus_codonocarpa_5025,217
eucalyptus_comitae-vallis_1897,576
eucalyptus_comitae-vallis_2767,576
eucalyptus_concinna_1391,642
eucalyptus_concinna_(rib-fruited_variant)_7307,642
eucalyptus_concinna_(sa_big_fruit_variant)_2631,642
eucalyptus_concinna_(small_fruit_variant)_2715,642
eucalyptus_conferruminata_subsp._'eastern_mainland'_1639,624
eucalyptus_conferruminata_subsp._'eastern_mainland'_6370,624
eucalyptus_conferruminata_subsp._conferruminata_3570,624
eucalyptus_conferruminata_subsp._conferruminata_4805,624
eucalyptus_conferruminata_subsp._recherche_4585,624
eucalyptus_conferruminata_subsp._recherche_4588,624
eucalyptus_conferruminata_subsp._recherche_4611,624
eucalyptus_confluens_1908,518
eucalyptus_conglobata_subsp._conglobata_559,566
eucalyptus_conglobata_subsp._conglobata_933,566
eucalyptus_conglobata_subsp._conglobata_938,566
eucalyptus_conglobata_subsp._conglobata_944,566
eucalyptus_conglobata_subsp._conglobata_1106,566
eucalyptus_conglobata_subsp._conglobata_3588,566
eucalyptus_conglobata_subsp._conglobata_6017,566
eucalyptus_conglomerata_719,168
eucalyptus_conica_747,499
eucalyptus_consideniana_611,225
eucalyptus_conspicua_1747,449
eucalyptus_conspicua_4516,449
eucalyptus_conveniens_1162,111
