TaxonoriginalDN,taxonsimplified_dn,Taxonsimplified_DN,Acceptedname_ALA,acceptedname_ala,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,RowTree
Eucalyptus brachycalyx,eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus brachycalyx,,Species ,D.Nicolle,1072,"Yumbarra Con. Park, SA",31,50,30,133,27,26,67,29,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T29
Eucalyptus brachycalyx,eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus brachycalyx,,Species ,D.Nicolle,1072,"Yumbarra Con. Park, SA",31,50,30,133,27,26,67,30,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T30
Eucalyptus brachycalyx,eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus brachycalyx,,Species ,D.Nicolle,1072,"Yumbarra Con. Park, SA",31,50,30,133,27,26,67,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T31
Eucalyptus brachycalyx,eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus brachycalyx,,Species ,D.Nicolle,1072,"Yumbarra Con. Park, SA",31,50,30,133,27,26,67,32,Dead,,,,,,,,,,,,1995,R067/T32
Eucalyptus calcareana,eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus calcareana,,Species ,D.Nicolle,1074,"Koonibba, SA",31,48,35,133,26,42,67,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T13
Eucalyptus calcareana,eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus calcareana,,Species ,D.Nicolle,1074,"Koonibba, SA",31,48,35,133,26,42,67,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T14
Eucalyptus calcareana,eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus calcareana,,Species ,D.Nicolle,1074,"Koonibba, SA",31,48,35,133,26,42,67,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T16
Eucalyptus calcareana,eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus calcareana,,Species ,D.Nicolle,1074,"Koonibba, SA",31,48,35,133,26,42,67,15,Dead,,,,,,,,,,,,1995,R067/T15
Eucalyptus capitanea,eucalyptus capitanea,Eucalyptus capitanea,Eucalyptus capitanea,eucalyptus capitanea,,Species ,D.Nicolle,1076,"Koonibba, SA",31,47,34,133,25,48,67,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T17
Eucalyptus capitanea,eucalyptus capitanea,Eucalyptus capitanea,Eucalyptus capitanea,eucalyptus capitanea,,Species ,D.Nicolle,1076,"Koonibba, SA",31,47,34,133,25,48,67,18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T18
Eucalyptus capitanea,eucalyptus capitanea,Eucalyptus capitanea,Eucalyptus capitanea,eucalyptus capitanea,,Species ,D.Nicolle,1076,"Koonibba, SA",31,47,34,133,25,48,67,19,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T19
Eucalyptus capitanea,eucalyptus capitanea,Eucalyptus capitanea,Eucalyptus capitanea,eucalyptus capitanea,,Species ,D.Nicolle,1076,"Koonibba, SA",31,47,34,133,25,48,67,20,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T20
Eucalyptus yumbarrana,eucalyptus yumbarrana,Eucalyptus yumbarrana,Eucalyptus yumbarrana,eucalyptus yumbarrana,,Species ,D.Nicolle,1078,"Yumbarra Con. Park, SA",31,48,44,133,27,28,66,9,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R066/T09
Eucalyptus yumbarrana,eucalyptus yumbarrana,Eucalyptus yumbarrana,Eucalyptus yumbarrana,eucalyptus yumbarrana,,Species ,D.Nicolle,1078,"Yumbarra Con. Park, SA",31,48,44,133,27,28,66,10,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R066/T10
Eucalyptus yumbarrana,eucalyptus yumbarrana,Eucalyptus yumbarrana,Eucalyptus yumbarrana,eucalyptus yumbarrana,,Species ,D.Nicolle,1078,"Yumbarra Con. Park, SA",31,48,44,133,27,28,66,11,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R066/T11
Eucalyptus sp. 'Great Victoria Desert' (aff. leptophylla),eucalyptus sp. great victoria desert,Eucalyptus sp. Great Victoria Desert,Eucalyptus leptophylla,eucalyptus leptophylla,,Species ,D.Nicolle,1079,"Yumbarra Con. Park, SA",31,49,27,133,27,21,64,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R064/T16
Eucalyptus sp. 'Great Victoria Desert' (aff. leptophylla),eucalyptus sp. great victoria desert,Eucalyptus sp. Great Victoria Desert,Eucalyptus leptophylla,eucalyptus leptophylla,,Species ,D.Nicolle,1079,"Yumbarra Con. Park, SA",31,49,27,133,27,21,64,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R064/T17
Eucalyptus sp. 'Great Victoria Desert' (aff. leptophylla),eucalyptus sp. great victoria desert,Eucalyptus sp. Great Victoria Desert,Eucalyptus leptophylla,eucalyptus leptophylla,,Species ,D.Nicolle,1079,"Yumbarra Con. Park, SA",31,49,27,133,27,21,64,18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R064/T18
Eucalyptus sp. 'Great Victoria Desert' (aff. leptophylla),eucalyptus sp. great victoria desert,Eucalyptus sp. Great Victoria Desert,Eucalyptus leptophylla,eucalyptus leptophylla,,Species ,D.Nicolle,1079,"Yumbarra Con. Park, SA",31,49,27,133,27,21,64,19,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R064/T19
Eucalyptus sp. 'Madura Beach' (aff. discreta),eucalyptus sp. madura beach,Eucalyptus sp. Madura Beach,Eucalyptus discreta,eucalyptus discreta,,Species ,D.Nicolle,1081,"Madura Beach, WA",32,2,44,127,2,35,67,33,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T33
Eucalyptus sp. 'Madura Beach' (aff. discreta),eucalyptus sp. madura beach,Eucalyptus sp. Madura Beach,Eucalyptus discreta,eucalyptus discreta,,Species ,D.Nicolle,1081,"Madura Beach, WA",32,2,44,127,2,35,67,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T34
Eucalyptus sp. 'Madura Beach' (aff. discreta),eucalyptus sp. madura beach,Eucalyptus sp. Madura Beach,Eucalyptus discreta,eucalyptus discreta,,Species ,D.Nicolle,1081,"Madura Beach, WA",32,2,44,127,2,35,67,35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R067/T35
Eucalyptus urna,eucalyptus urna,Eucalyptus urna,Eucalyptus urna,eucalyptus urna,,Species ,D.Nicolle,1087,"Balladonia, WA",32,49,25,123,31,57,66,5,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R066/T05
Eucalyptus urna,eucalyptus urna,Eucalyptus urna,Eucalyptus urna,eucalyptus urna,,Species ,D.Nicolle,1087,"Balladonia, WA",32,49,25,123,31,57,66,8,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R066/T08
Eucalyptus urna,eucalyptus urna,Eucalyptus urna,Eucalyptus urna,eucalyptus urna,,Species ,D.Nicolle,1087,"Balladonia, WA",32,49,25,123,31,57,66,7,Dead,,,,,,,,,,,,1995,R066/T07
Eucalyptus uncinata subsp. 'Esperance Plains',eucalyptus uncinata subsp. esperance plains,Eucalyptus uncinata subsp. Esperance Plains,Eucalyptus uncinata,eucalyptus uncinata,,Species ,D.Nicolle,1089,"Cape Arid, WA",33,18,25,123,22,45,64,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R064/T21
Eucalyptus uncinata subsp. 'Esperance Plains',eucalyptus uncinata subsp. esperance plains,Eucalyptus uncinata subsp. Esperance Plains,Eucalyptus uncinata,eucalyptus uncinata,,Species ,D.Nicolle,1089,"Cape Arid, WA",33,18,25,123,22,45,64,23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,R064/T23
Eucalyptus uncinata subsp. 'Esperance Plains',eucalyptus uncinata subsp. esperance plains,Eucalyptus uncinata subsp. Esperance Plains,Eucalyptus uncinata,eucalyptus uncinata,,Species ,D.Nicolle,1089,"Cape Arid, WA",33,18,25,123,22,45,64,20,Dead,,,,,,,,,,,,1995,R064/T20
