TaxonoriginalDN,Collector,Collector's #,Row #,Tree #,RowTree,Year planted
Eucalyptus crenulata,D.Nicolle,1775,141,09,R141/T09,1997
Eucalyptus crenulata,D.Nicolle,1775,141,10,R141/T10,1997
Eucalyptus crenulata,D.Nicolle,1775,141,11,R141/T11,1997
Eucalyptus crenulata,D.Nicolle,1775,141,12,R141/T12,1997
Eucalyptus creta,D.Nicolle,1102,065,23,R065/T23,1995
Eucalyptus creta,D.Nicolle,1102,065,24,R065/T24,1995
Eucalyptus creta,D.Nicolle,1102,065,25,R065/T25,1995
Eucalyptus creta,D.Nicolle,1102,065,26,R065/T26,1995
Eucalyptus creta,D.Nicolle,3606,224,13,R224/T13,2001
Eucalyptus creta,D.Nicolle,3606,224,14,R224/T14,2001
Eucalyptus creta,D.Nicolle,3606,224,15,R224/T15,2001
Eucalyptus creta,D.Nicolle,3606,224,16,R224/T16,2001
Eucalyptus cretata,D.Nicolle,1689,133,25,R133/T25,1997
Eucalyptus cretata,D.Nicolle,1689,133,26,R133/T26,1997
Eucalyptus cretata,D.Nicolle,1689,133,27,R133/T27,1997
Eucalyptus cretata,D.Nicolle,1689,133,28,R133/T28,1997
Eucalyptus cretata - E. dumosa intergrade,D.Nicolle,5932,244,02,R244/T02,2013
Eucalyptus cretata - E. dumosa intergrade,D.Nicolle,5932,244,03,R244/T03,2013
Eucalyptus cretata - E. dumosa intergrade,D.Nicolle,5932,244,04,R244/T04,2013
Eucalyptus cretata - E. dumosa intergrade,D.Nicolle,5932,244,05,R244/T05,2013
Eucalyptus croajingolensis,D.Nicolle,1744,142,13,R142/T13,1997
Eucalyptus croajingolensis,D.Nicolle,1744,142,14,R142/T14,1997
Eucalyptus croajingolensis,D.Nicolle,1744,142,15,R142/T15,1997
Eucalyptus croajingolensis,D.Nicolle,1744,142,16,R142/T16,1997
Eucalyptus crucis subsp. crucis,D.Nicolle,305,043,28,R043/T28,1994
Eucalyptus crucis subsp. crucis,D.Nicolle,305,043,29,R043/T29,1994
Eucalyptus crucis subsp. crucis,D.Nicolle,3681,226,36,R226/T36,2001
Eucalyptus crucis subsp. crucis,D.Nicolle,3681,226,37,R226/T37,2001
Eucalyptus crucis subsp. crucis,D.Nicolle,3681,226,38,R226/T38,2001
Eucalyptus crucis subsp. lanceolata,D.Nicolle,303,019,21,R019/T21,1993
Eucalyptus crucis subsp. lanceolata,D.Nicolle,303,019,22,R019/T22,1993
Eucalyptus crucis subsp. lanceolata,D.Nicolle,303,019,23,R019/T23,1993
Eucalyptus crucis subsp. lanceolata,D.Nicolle,303,019,24,R019/T24,1993
Eucalyptus crucis subsp. lanceolata,D.Nicolle,5456,316,09,R316/T09,2011
Eucalyptus crucis subsp. lanceolata,D.Nicolle,5456,316,10,R316/T10,2011
Eucalyptus crucis subsp. lanceolata,D.Nicolle,5456,316,11,R316/T11,2011
Eucalyptus crucis subsp. lanceolata,D.Nicolle,5456,316,12,R316/T12,2011
Eucalyptus crucis subsp. lanceolata,D.Nicolle,5603,317,01,R317/T01,2011
Eucalyptus crucis subsp. lanceolata,D.Nicolle,5603,317,02,R317/T02,2011
Eucalyptus crucis subsp. lanceolata,D.Nicolle,5603,317,03,R317/T03,2011
Eucalyptus crucis subsp. lanceolata,D.Nicolle,5603,317,04,R317/T04,2011
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,088,16,R088/T16,1996
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,088,17,R088/T17,1996
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,088,18,R088/T18,1996
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,136,01,R136/T01,1997
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,136,02,R136/T02,1997
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,136,03,R136/T03,1997
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,136,04,R136/T04,1997
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,207,05,R207/T05,2002
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,207,06,R207/T06,2002
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,207,07,R207/T07,2002
Eucalyptus crucis subsp. praecipua,D.Nicolle,1561,207,08,R207/T08,2002
Eucalyptus crucis subsp. praecipua,D.Nicolle,7318,347,17,R347/T17,2018
Eucalyptus crucis subsp. praecipua,D.Nicolle,7318,347,18,R347/T18,2018
Eucalyptus crucis subsp. praecipua,D.Nicolle,7318,347,19,R347/T19,2018
Eucalyptus crucis subsp. praecipua,D.Nicolle,7318,347,20,R347/T20,2018
Eucalyptus cullenii,D.Nicolle,1322,094,25,R094/T25,1996
Eucalyptus cullenii,D.Nicolle,1322,094,26,R094/T26,1996
Eucalyptus cullenii,D.Nicolle,1322,094,27,R094/T27,1996
Eucalyptus cullenii,D.Nicolle,1322,094,28,R094/T28,1996
Eucalyptus cunninghamii,D.Nicolle,626,028,33,R028/T33,1993
Eucalyptus cunninghamii,D.Nicolle,626,028,34,R028/T34,1993
Eucalyptus cunninghamii,D.Nicolle,626,028,35,R028/T35,1993
Eucalyptus cunninghamii,D.Nicolle,626,028,36,R028/T36,1993
Eucalyptus cunninghamii,D.Nicolle,2915,196,25,R196/T25,2000
Eucalyptus cunninghamii,D.Nicolle,2915,196,26,R196/T26,2000
Eucalyptus cunninghamii,D.Nicolle,2915,196,27,R196/T27,2000
Eucalyptus cunninghamii,D.Nicolle,2915,196,28,R196/T28,2000
Eucalyptus cunninghamii,D.Nicolle,2915,242,13,R242/T13,2002
Eucalyptus cunninghamii,D.Nicolle,2915,242,14,R242/T14,2002
Eucalyptus cunninghamii,D.Nicolle,2915,242,15,R242/T15,2002
Eucalyptus cunninghamii,D.Nicolle,2915,242,16,R242/T16,2002
Eucalyptus cunninghamii,D.Nicolle,5868,292,13,R292/T13,2015
Eucalyptus cunninghamii,D.Nicolle,5868,292,14,R292/T14,2015
Eucalyptus cunninghamii,D.Nicolle,5868,292,15,R292/T15,2015
Eucalyptus cunninghamii,D.Nicolle,5868,292,16,R292/T16,2015
Eucalyptus cuprea,D.Nicolle,3536,235,01,R235/T01,2001
Eucalyptus cuprea,D.Nicolle,3536,235,02,R235/T02,2001
Eucalyptus cuprea,D.Nicolle,3536,235,03,R235/T03,2001
Eucalyptus cuprea,D.Nicolle,3536,235,04,R235/T04,2001
Eucalyptus cupularis,D.Nicolle,1938,136,35,R136/T35,1997
Eucalyptus cupularis,D.Nicolle,1938,136,36,R136/T36,1997
Eucalyptus cupularis,D.Nicolle,1938,136,37,R136/T37,1997
Eucalyptus cupularis,D.Nicolle,6641,295,11,R295/T11,2015
Eucalyptus cupularis,D.Nicolle,6641,295,12,R295/T12,2015
Eucalyptus cupularis,D.Nicolle,6641,295,13,R295/T13,2015
Eucalyptus curtisii,D.Nicolle,2108,159,09,R159/T09,1998
Eucalyptus curtisii,D.Nicolle,2108,159,10,R159/T10,1998
Eucalyptus curtisii,D.Nicolle,2108,159,11,R159/T11,1998
Eucalyptus curtisii,D.Nicolle,2108,159,12,R159/T12,1998
Eucalyptus cyanophylla,D.Nicolle,983,064,36,R064/T36,1995
Eucalyptus cyanophylla,D.Nicolle,983,064,37,R064/T37,1995
Eucalyptus cyanophylla,D.Nicolle,983,064,38,R064/T38,1995
Eucalyptus cyanophylla,D.Nicolle,983,064,39,R064/T39,1995
Eucalyptus cyclostoma,D.Nicolle,125,012,09,R012/T09,1993
Eucalyptus cyclostoma,D.Nicolle,125,012,10,R012/T10,1993
Eucalyptus cyclostoma,D.Nicolle,125,012,11,R012/T11,1993
Eucalyptus cyclostoma,D.Nicolle,125,012,12,R012/T12,1993
Eucalyptus cylindriflora,D.Nicolle,144,017,09,R017/T09,1993
Eucalyptus cylindriflora,D.Nicolle,144,017,10,R017/T10,1993
Eucalyptus cylindriflora,D.Nicolle,144,017,11,R017/T11,1993
Eucalyptus cylindriflora,D.Nicolle,144,017,12,R017/T12,1993
Eucalyptus cylindrocarpa,D.Nicolle,121,023,34,R023/T34,1993
Eucalyptus cylindrocarpa,D.Nicolle,121,023,35,R023/T35,1993
Eucalyptus cylindrocarpa,D.Nicolle,121,023,36,R023/T36,1993
Eucalyptus cylindrocarpa,D.Nicolle,121,023,37,R023/T37,1993
Eucalyptus cylindrocarpa,D.Nicolle,526,039,01,R039/T01,1994
Eucalyptus cylindrocarpa,D.Nicolle,526,039,02,R039/T02,1994
Eucalyptus cylindrocarpa,D.Nicolle,526,039,03,R039/T03,1994
Eucalyptus cylindrocarpa,D.Nicolle,526,039,04,R039/T04,1994
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. carolaniae),D.Nicolle,6787,332,01,R332/T01,2015
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. carolaniae),D.Nicolle,6787,332,02,R332/T02,2015
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. carolaniae),D.Nicolle,6787,332,03,R332/T03,2015
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. carolaniae),D.Nicolle,6787,332,04,R332/T04,2015
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. goniocalyx subsp. fallax),D.Nicolle,6098,244,12,R244/T12,2013
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. goniocalyx subsp. fallax),D.Nicolle,6098,244,13,R244/T13,2013
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. goniocalyx subsp. fallax),D.Nicolle,6098,244,14,R244/T14,2013
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. goniocalyx subsp. fallax),D.Nicolle,6098,244,15,R244/T15,2013
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. goniocalyx subsp. laxa),D.Nicolle,6095,246,01,R246/T01,2013
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. goniocalyx subsp. laxa),D.Nicolle,6095,246,02,R246/T02,2013
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. goniocalyx subsp. laxa),D.Nicolle,6095,246,03,R246/T03,2013
Eucalyptus cypellocarpa (E. oresbia),D.Nicolle,2949,191,01,R191/T01,2000
Eucalyptus cypellocarpa (E. oresbia),D.Nicolle,2949,191,02,R191/T02,2000
Eucalyptus cypellocarpa (E. oresbia),D.Nicolle,2949,191,03,R191/T03,2000
Eucalyptus cypellocarpa (E. oresbia),D.Nicolle,2949,191,04,R191/T04,2000
Eucalyptus cypellocarpa (E. quinniorum),D.Nicolle,2946,190,05,R190/T05,2000
Eucalyptus cypellocarpa (E. quinniorum),D.Nicolle,2946,190,06,R190/T06,2000
Eucalyptus cypellocarpa (E. quinniorum),D.Nicolle,2946,190,07,R190/T07,2000
Eucalyptus cypellocarpa (E. quinniorum),D.Nicolle,2946,190,08,R190/T08,2000
Eucalyptus dalrympleana subsp. 'Howmans Gap',D.Nicolle,4867,210,06,R210/T06,2006
Eucalyptus dalrympleana subsp. 'Howmans Gap',D.Nicolle,4867,210,07,R210/T07,2006
Eucalyptus dalrympleana subsp. 'Howmans Gap',D.Nicolle,4867,210,08,R210/T08,2006
Eucalyptus dalrympleana subsp. 'Howmans Gap',D.Nicolle,4867,210,09,R210/T09,2006
Eucalyptus dalrympleana subsp. 'Tasmania',D.Nicolle,6736,330,09,R330/T09,2015
Eucalyptus dalrympleana subsp. 'Tasmania',D.Nicolle,6736,330,10,R330/T10,2015
Eucalyptus dalrympleana subsp. 'Tasmania',D.Nicolle,6736,330,11,R330/T11,2015
Eucalyptus dalrympleana subsp. 'Tasmania',D.Nicolle,6736,330,12,R330/T12,2015
Eucalyptus dalrympleana subsp. dalrympleana,D.Nicolle,579,059,27,R059/T27,1994
Eucalyptus dalrympleana subsp. dalrympleana,D.Nicolle,579,059,28,R059/T28,1994
