UniqueID,Yearplanted,Row,Tree,TaxonoriginalDN,Regen.strategy,Aridityclass,AridityIndex,Diam.1.w.Bark..mm.,Diam.2.Bark,Diam.1.peeled,Diam.2.peeled,Diamthickness.mm.,Volume.wood..cm3.,Leaf.dry.weight..g.,Wood.dry.weight..g.,Wooddensity.g.cm3.,Leaf.Area,Slice,Countedleaves,Total.Area,Average.Size,X.Area,SLA
666,1994,50,15,Eucalyptus fibrosa,Combination,DrySubhumid,0.6368,8.98,8.66,7.26,6.82,1.78,2.2,3.6776,1.42,0.65,NA,UniqueID,8,191.46292,23.93286,35.16911,52.06192082
666,1994,50,16,Eucalyptus fibrosa,Combination,DrySubhumid,0.6368,10.98,10.95,8.89,9.13,1.955,2.88,3.0713,1.83,0.64,NA,UniqueID,6,172.87736,28.81289,31.7552,56.28800834
667,1994,60,29,Eucalyptus interstans,Combination,DrySubhumid,0.7162,7.9,8.12,5.92,6.54,1.78,1.57,1.857,0.89,0.57,NA,UniqueID,9,145.6516,16.18351,26.7542,78.43381799
667,1994,60,30,Eucalyptus interstans,Combination,DrySubhumid,0.7162,10.51,10.8,9.3,8.71,1.65,3.1,2.0138,1.57,0.51,NA,UniqueID,10,136.08715,13.60872,24.99734,67.57729169
667,1994,60,32,Eucalyptus interstans,Combination,DrySubhumid,0.7162,8.6,8.63,7.04,6.8,1.695,1.91,1.568,0.97,0.51,NA,UniqueID,10,134.06492,13.40649,24.62589,85.50058673
668,1994,52,6,Eucalyptus amplifolia subsp. sessiliflora,Combination,DrySubhumid,0.5714,8.02,8.63,7.05,6.37,1.615,1.74,4.1927,0.97,0.56,NA,UniqueID,7,197.90425,28.27204,36.3523,47.20210127
668,1994,52,7,Eucalyptus amplifolia subsp. sessiliflora,Combination,DrySubhumid,0.5714,13.37,12.47,12.04,10.11,1.845,4.2,4.412,2.14,0.51,NA,UniqueID,6,180.09005,30.01501,33.08007,40.81823436
668,1994,52,8,Eucalyptus amplifolia subsp. sessiliflora,Combination,DrySubhumid,0.5714,9.11,8.52,7.94,7.37,1.16,2.13,3.5233,1.33,0.62,NA,UniqueID,6,144.69597,24.116,26.57867,41.06830812
671,1994,52,1,Eucalyptus prava,Combination,DrySubhumid,0.6147,11.04,10.83,7.97,8.07,2.915,2.45,3.6802,1.29,0.53,NA,UniqueID,8,144.57351,18.07169,26.55617,39.28414488
671,1994,52,4,Eucalyptus prava,Combination,DrySubhumid,0.6147,9.72,9.75,8.4,8.19,1.44,3.02,1.6007,1.81,0.6,NA,UniqueID,8,107.71397,13.46425,19.78558,67.29179109
674,1994,52,9,Eucalyptus sideroxylon,Combination,DrySubhumid,0.5225,9.1,9.66,7.43,6.87,2.23,2.11,1.5133,1.26,0.6,NA,UniqueID,10,103.87072,10.38707,19.07963,68.63855151
674,1994,52,10,Eucalyptus sideroxylon,Combination,DrySubhumid,0.5225,7.42,7.44,6.48,5.85,1.265,1.51,2.9939,0.95,0.63,NA,UniqueID,9,158.65157,17.62795,29.14212,52.99160627
674,1994,52,12,Eucalyptus sideroxylon,Combination,DrySubhumid,0.5225,9.01,9.27,7.22,7.42,1.82,1.73,2.0786,1.11,0.64,NA,UniqueID,9,140.8236,15.64707,25.86736,67.74925431
679,1994,59,12,Eucalyptus populnea subsp. populnea,Combination,Semiarid,0.3167,8.6,8.92,6.82,6.42,2.14,1.65,4.2281,1.08,0.65,NA,UniqueID,7,182.82855,26.11836,33.5831,43.24130224
679,1994,59,13,Eucalyptus populnea subsp. populnea,Combination,Semiarid,0.3167,9.07,8.71,6.3,6.8,2.34,1.72,4.2361,1.18,0.69,NA,UniqueID,5,193.81585,38.76317,35.60132,45.75336984
679,1994,59,15,Eucalyptus populnea subsp. populnea,Combination,Semiarid,0.3167,8.09,8.94,6.32,6.91,1.9,1.69,4.971,1.17,0.69,NA,UniqueID,7,205.34265,29.33466,37.71863,41.30811708
680,1994,51,1,Eucalyptus elegans,Combination,Semiarid,0.3167,10.36,10.52,8.19,7.92,2.385,2.59,2.1761,1.76,0.68,NA,UniqueID,11,115.38705,10.48973,21.19502,53.02470015
680,1994,51,3,Eucalyptus elegans,Combination,Semiarid,0.3167,9.61,10.22,7.41,7.58,2.42,2.33,1.0804,1.58,0.68,NA,UniqueID,11,89.65718,8.15065,16.46879,82.98517216
680,1994,51,4,Eucalyptus elegans,Combination,Semiarid,0.3167,10.56,9.45,7.3,7.17,2.77,1.9,1.178,1.24,0.65,NA,UniqueID,10,89.4709,8.94709,16.43458,75.95152801
681,1994,49,5,Eucalyptus woollsiana (E. pilligaensis),Combination,Semiarid,0.31,10.57,9.87,8.56,7.29,2.295,2.48,1.8628,1.6,0.65,NA,UniqueID,11,81.22184,7.3838,14.91934,43.60201847
681,1994,49,6,Eucalyptus woollsiana (E. pilligaensis),Combination,Semiarid,0.31,10.26,10.57,8.07,8.21,2.275,2.41,2.2615,1.66,0.69,NA,UniqueID,9,92.0727,10.2303,16.91249,40.71311077
681,1994,49,8,Eucalyptus woollsiana (E. pilligaensis),Combination,Semiarid,0.31,10.71,9.93,8.33,7.58,2.365,2.69,3.786,2.01,0.75,NA,UniqueID,9,149.68458,16.63162,27.49501,39.53633914
683,1994,53,33,Eucalyptus panda,Combination,Semiarid,0.3159,10.47,10.07,7.84,7.69,2.505,2.11,1.5862,1.24,0.59,NA,UniqueID,7,116.51871,16.64553,21.40289,73.45776699
683,1994,53,35,Eucalyptus panda,Combination,Semiarid,0.3159,8.45,8.16,5.86,6.05,2.35,1.25,2.1448,0.83,0.66,NA,UniqueID,7,148.13341,21.16192,27.21008,69.06630455
