original,name,name2,name3
Corymbia_dimorpha,corymbia dimorpha,corymbia_dimorpha,corymbia_dimorpha
Corymbia_dolichocarpa,corymbia dolichocarpa,corymbia_dolichocarpa,corymbia_dolichocarpa
Corymbia_dunlopiana_CANB_640209,corymbia dunlopiana,corymbia_dunlopiana,corymbia_dunlopiana
Corymbia_ellipsoidea_Mt_Annan_904974,corymbia ellipsoidea,corymbia_ellipsoidea,corymbia_ellipsoidea
Corymbia_eremaea_subsp_eremaea_280,corymbia eremaea subsp. eremaea,corymbia_eremaea_subsp._eremaea,corymbia_eremaea_subsp_eremaea
Corymbia_erythrophloia_Mt_Annan_891984,corymbia erythrophloia,corymbia_erythrophloia,corymbia_erythrophloia
Corymbia_eximia_ANBG_62889,corymbia eximia,corymbia_eximia,corymbia_eximia
Corymbia_ferriticola_MC_11117,corymbia ferriticola,corymbia_ferriticola,corymbia_ferriticola
Corymbia_ferruginea_subsp_ferruginea_MC_10538,corymbia ferruginea subsp. ferruginea,corymbia_ferruginea_subsp._ferruginea,corymbia_ferruginea_subsp_ferruginea
Corymbia_ficifolia_ANBG_c208,corymbia ficifolia,corymbia_ficifolia,corymbia_ficifolia
Corymbia_flavescens_MC_10596,corymbia flavescens,corymbia_flavescens,corymbia_flavescens
Corymbia_foelscheana_MC_10508,corymbia foelscheana,corymbia_foelscheana,corymbia_foelscheana
Corymbia_gilbertensis_CANB_739029,corymbia gilbertensis,corymbia_gilbertensis,corymbia_gilbertensis
Corymbia_grandifolia_CANB_739034,corymbia grandifolia,corymbia_grandifolia,corymbia_grandifolia
Corymbia_greeniana_MC_10557,corymbia greeniana,corymbia_greeniana,corymbia_greeniana
Corymbia_gummifera_680,corymbia gummifera,corymbia_gummifera,corymbia_gummifera
Corymbia_haematoxylon_380,corymbia haematoxylon,corymbia_haematoxylon,corymbia_haematoxylon
Corymbia_hamersleyana_MC_11116,corymbia hamersleyana,corymbia_hamersleyana,corymbia_hamersleyana
Corymbia_hendersonii_252,corymbia hendersonii,corymbia_hendersonii,corymbia_hendersonii
Corymbia_henryi_ANBG_8910948,corymbia henryi,corymbia_henryi,corymbia_henryi
Corymbia_hylandii_CANB_738922,corymbia hylandii,corymbia_hylandii,corymbia_hylandii
Corymbia_intermedia_230,corymbia intermedia,corymbia_intermedia,corymbia_intermedia
Corymbia_jacobsiana_CANB_558528,corymbia jacobsiana,corymbia_jacobsiana,corymbia_jacobsiana
