phylo.tip.label.match,new.tip_unique.ID,uniqueID
eucalyptus_calcareana,eucalyptus_calcareana_2800,2800
eucalyptus_calcicola,eucalyptus_calcicola_subsp._calcicola_1674,1674
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_1669,1669
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_1878,1878
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_3753,3753
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_3757,3757
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_3978,3978
eucalyptus_caleyi,eucalyptus_caleyi_subsp._caleyi_746,746
eucalyptus_caleyi,eucalyptus_caleyi_subsp._caleyi_-_subsp._ovendenii_intergrade_2102,2102
eucalyptus_caleyi,eucalyptus_caleyi_subsp._ovendenii_2930,2930
eucalyptus_caliginosa,eucalyptus_caliginosa_1249,1249
eucalyptus_caliginosa,eucalyptus_caliginosa_2943,2943
eucalyptus_calycogona,eucalyptus_calycogona_subsp._calycogona_1112,1112
eucalyptus_calycogona,eucalyptus_calycogona_subsp._calycogona_3177,3177
eucalyptus_calycogona,eucalyptus_calycogona_subsp._calycogona_3829,3829
eucalyptus_calycogona,eucalyptus_calycogona_subsp._calycogona_4558,4558
eucalyptus_calycogona,eucalyptus_calycogona_subsp._miraculum_4786,4786
eucalyptus_calycogona,eucalyptus_calycogona_subsp._miraculum_4794,4794
eucalyptus_calycogona,eucalyptus_calycogona_subsp._spaffordii_949,949
eucalyptus_calycogona,eucalyptus_calycogona_subsp._trachybasis_732,732
eucalyptus_calycogona,eucalyptus_calycogona_subsp._trachybasis_2896,2896
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._acuta_2553,2553
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_1206,1206
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_2555,2555
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_3523,3523
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_4177,4177
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_5077,5077
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_5571,5571
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._camaldulensis_823,823
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._camaldulensis_4733,4733
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._camaldulensis_5156,5156
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._minima_5233,5233
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._minima_5279,5279
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._minima_6136,6136
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._minima_6389,6389
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._obtusa_2489,2489
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._obtusa_4231,4231
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._refulgens_4258,4258
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._refulgens_5747,5747
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._simulata_1314,1314
eucalyptus_largeana,eucalyptus_cambageana_697,697
eucalyptus_mckieana,eucalyptus_cameronii_662,662
eucalyptus_mckieana,eucalyptus_cameronii_(e._mensalis)_709,709
eucalyptus_bensonii,eucalyptus_camfieldii_2077,2077
eucalyptus_bensonii,eucalyptus_camfieldii_6794,6794
eucalyptus_andrewsii,eucalyptus_campanulata_1248,1248
eucalyptus_andrewsii,eucalyptus_campanulata_(e._montivaga)_2546,2546
eucalyptus_campaspe,eucalyptus_campaspe_332,332
eucalyptus_campaspe,eucalyptus_campaspe_2174,2174
eucalyptus_campaspe,eucalyptus_campaspe_5660,5660
eucalyptus_camphora,eucalyptus_camphora_subsp._camphora_762,762
eucalyptus_camphora,eucalyptus_camphora_subsp._camphora_(e._aquatica)_616,616
eucalyptus_camphora,eucalyptus_camphora_subsp._humeana_576,576
eucalyptus_camphora,eucalyptus_camphora_subsp._humeana_6333,6333
eucalyptus_camphora,eucalyptus_camphora_subsp._humeana_-_e._strzeleckii_intergrade_(e._bunyip)_6782,6782
eucalyptus_camphora,eucalyptus_camphora_subsp._relicta_5024,5024
eucalyptus_camphora,eucalyptus_camphora_subsp._relicta_6219,6219
eucalyptus_canescens,eucalyptus_canescens_subsp._beadellii_1506,1506
eucalyptus_canescens,eucalyptus_canescens_subsp._canescens_487,487
eucalyptus_capillosa,eucalyptus_capillosa_300,300
eucalyptus_capillosa,eucalyptus_capillosa_2192,2192
eucalyptus_capillosa,eucalyptus_capillosa_(e._nigrifunda)_533,533
eucalyptus_capillosa,eucalyptus_capillosa_(e._nigrifunda)_2722,2722
eucalyptus_capillosa,eucalyptus_capillosa_(subsp._polyclada)_241,241
eucalyptus_ceratocorys,eucalyptus_capitanea_1076,1076
eucalyptus_capitellata,eucalyptus_capitellata_640,640
eucalyptus_capitellata,eucalyptus_capitellata_5262,5262
eucalyptus_captiosa,eucalyptus_captiosa_203,203
eucalyptus_carnea,eucalyptus_carnea_1236,1236
eucalyptus_carnea,eucalyptus_carnea_2925,2925
eucalyptus_carnei,eucalyptus_carnei_547,547
eucalyptus_carnei,eucalyptus_carnei_4302,4302
eucalyptus_celastroides,eucalyptus_celastroides_132,132
eucalyptus_ceratocorys,eucalyptus_ceratocorys_2232,2232
eucalyptus_cernua,eucalyptus_cernua_182,182
eucalyptus_cernua,eucalyptus_cernua_3574,3574
eucalyptus_dalrympleana,eucalyptus_chapmaniana_577,577
eucalyptus_dalrympleana,eucalyptus_chapmaniana_7387,7387
eucalyptus_chartaboma,eucalyptus_chartaboma_2509,2509
eucalyptus_chartaboma,eucalyptus_chartaboma_5143,5143
eucalyptus_blakelyi,eucalyptus_chloroclada_675,675
eucalyptus_blakelyi,eucalyptus_chloroclada_1255,1255
eucalyptus_blakelyi,eucalyptus_chloroclada_6148,6148
eucalyptus_blakelyi,eucalyptus_chloroclada_6464,6464
eucalyptus_blakelyi,eucalyptus_chloroclada_6806,6806
eucalyptus_chlorophylla,eucalyptus_chlorophylla_1315,1315
eucalyptus_chlorophylla,eucalyptus_chlorophylla_1334,1334
eucalyptus_cinerea,eucalyptus_cinerea_subsp._cinerea_3211,3211
eucalyptus_cinerea,eucalyptus_cinerea_subsp._cinerea_6277,6277
eucalyptus_cinerea,eucalyptus_cinerea_subsp._triplex_(subsp._victoriensis)_569,569
eucalyptus_cladocalyx,eucalyptus_cladocalyx_subsp._cladocalyx_3182,3182
eucalyptus_cladocalyx,eucalyptus_cladocalyx_subsp._crassa_1053,1053
eucalyptus_cladocalyx,eucalyptus_cladocalyx_subsp._petila_2569,2569
eucalyptus_cladocalyx,eucalyptus_cladocalyx_x_e._peninsularis_1683,1683
eucalyptus_clelandii,eucalyptus_clelandiorum_333,333
eucalyptus_clelandii,eucalyptus_clelandiorum_7295,7295
eucalyptus_clivicola,eucalyptus_clivicola_193,193
eucalyptus_clivicola,eucalyptus_clivicola_3779,3779
eucalyptus_approximans,eucalyptus_codonocarpa_673,673
eucalyptus_approximans,eucalyptus_codonocarpa_2097,2097
eucalyptus_approximans,eucalyptus_codonocarpa_5025,5025
eucalyptus_comitae-vallis,eucalyptus_comitae-vallis_1897,1897
eucalyptus_comitae-vallis,eucalyptus_comitae-vallis_2767,2767
eucalyptus_concinna,eucalyptus_concinna_1391,1391
eucalyptus_concinna,eucalyptus_concinna_(rib-fruited_variant)_7307,7307
eucalyptus_concinna,eucalyptus_concinna_(sa_big_fruit_variant)_2631,2631
eucalyptus_concinna,eucalyptus_concinna_(small_fruit_variant)_2715,2715
eucalyptus_conferruminata,eucalyptus_conferruminata_subsp._'eastern_mainland'_1639,1639
eucalyptus_conferruminata,eucalyptus_conferruminata_subsp._'eastern_mainland'_6370,6370
eucalyptus_conferruminata,eucalyptus_conferruminata_subsp._conferruminata_3570,3570
eucalyptus_conferruminata,eucalyptus_conferruminata_subsp._conferruminata_4805,4805
eucalyptus_conferruminata,eucalyptus_conferruminata_subsp._recherche_4585,4585
eucalyptus_conferruminata,eucalyptus_conferruminata_subsp._recherche_4588,4588
eucalyptus_conferruminata,eucalyptus_conferruminata_subsp._recherche_4611,4611
eucalyptus_confluens,eucalyptus_confluens_1908,1908
eucalyptus_conglobata,eucalyptus_conglobata_subsp._conglobata_559,559
eucalyptus_conglobata,eucalyptus_conglobata_subsp._conglobata_933,933
eucalyptus_conglobata,eucalyptus_conglobata_subsp._conglobata_938,938
eucalyptus_conglobata,eucalyptus_conglobata_subsp._conglobata_944,944
eucalyptus_conglobata,eucalyptus_conglobata_subsp._conglobata_1106,1106
eucalyptus_conglobata,eucalyptus_conglobata_subsp._conglobata_3588,3588
eucalyptus_conglobata,eucalyptus_conglobata_subsp._conglobata_6017,6017
eucalyptus_conspicua,eucalyptus_conspicua_1747,1747
eucalyptus_conspicua,eucalyptus_conspicua_4516,4516
