Drought2020Scale.mean,AICorrected,AP,height_max_m,tiplabel,CCAtiplabel
0,0.2744,715,20,4197,CCA4197
0,0.4458,1087,8,5806,CCA5806
0,0.3835,935,17,2488,CCA2488
0,0.3285,708,20,2527,CCA2527
0,0.4268,845,15,5112,CCA5112
0,0.3111,652,25,701,CCA701
1.5,0.1125,322,10,1208,CCA1208
0,0.1135,329,6,5750,CCA5750
1,0.9055,1573,7,2108,CCA2108
0,0.3233,671,40,6455,CCA6455
0,0.0838,256,16,4303,CCA4303
0,0.1119,287,6,1175,CCA1175
0,0.2072,476,6,270,CCA270
0,0.0925,238,6,2726,CCA2726
0,0.1631,374,6,293,CCA293
0,0.1527,357,8,5570,CCA5570
0,0.1463,345,8,5081,CCA5081
0,0.2336,530,8,265,CCA265
0,0.1539,363,7,7228,CCA7228
0,0.2328,534,2.5,3516,CCA3516
0,0.2128,486,2.5,1162,CCA1162
0,0.0755,230,8,2678,CCA2678
4,0.2987,488,5,3557,CCA3557
0.5,0.1916,358,5,154,CCA154
0,0.2455,441,4,1092,CCA1092
0,0.2675,592,4,252,CCA252
0,0.1499,351,5,3533,CCA3533
0,0.1302,318,5,1170,CCA1170
0,0.1119,288,3,1176,CCA1176
0,0.1083,286,8,7229,CCA7229
0,0.1341,335,6,279,CCA279
2,0.3332,645,5,6475,CCA6475
1.5,0.3251,647,5,6473,CCA6473
1,0.3395,670,55,696,CCA696
1.75,0.2523,565,5,5075,CCA5075
4,0.2695,419,20,6705,CCA6705
2.5,0.5402,785,20,1137,CCA1137
4,0.1702,322,7,4604,CCA4604
1,0.5225,906,35,7220,CCA7220
2.75,0.3361,538,10,1133,CCA1133
2.333333,0.8294,1176,65,7223,CCA7223
2.333333333,0.6931,1007,25,1141,CCA1141
2,0.0485,128,6,1878,CCA1878
1,0.7317,1020,6,1669,CCA1669
1.25,0.6794,1145,4,1674,CCA1674
0,0.1349,270,4,1811,CCA1811
0.333333333,0.6592,830,6,1991,CCA1991
0,0.3266,525,6,792,CCA792
1.5,0.0343,85,3,2247,CCA2247
2.5,0.2389,479,4,5541,CCA5541
1.5,0.4127,702,8,1637,CCA1637
0,0.1546,310,4,133,CCA133
3.5,0.4162,708,4,175,CCA175
0,0.2792,457,4,6703,CCA6703
1,0.5078,749,3,225,CCA225
1.333333333,0.295,513,2.5,3762,CCA3762
0,0.1662,275,1,5492,CCA5492
1.5,0.3315,573,1,3710,CCA3710
0,0.3155,555,1,179,CCA179
0,0.289,490,7,1635,CCA1635
0.5,0.3058,612,20,2115,CCA2115
1.5,0.3548,682,20,1263,CCA1263
1,0.6569,1106,15,664,CCA664
2,0.604,999,25,1236,CCA1236
0.5,0.3344,665,15,2114,CCA2114
0,0.557,1029,18,715,CCA715
2.666667,0.3586,646,45,704,CCA704
0,0.6523,1251,45,6447,CCA6447
0.5,0.4324,790,20,6491,CCA6491
2,0.689,1418,45,1299,CCA1299
2,0.3525,637,45,6456,CCA6456
2.25,2.7804,2778,40,7399,CCA7399
2.25,1.908,2091,7,6742,CCA6742
3.5,0.559,708,25,6721,CCA6721
4,0.6985,817,25,1976,CCA1976
0,0.413,637,10,6104,CCA6104
0.5,0.2086,387,10,1588,CCA1588
1.75,1.202,1777,30,6801,CCA6801
1.666666667,0.7566,1243,30,1243,CCA1243
1,1.0589,2075,30,1300,CCA1300
3.333333,0.532,785,15,812,CCA812
1.5,0.5734,849,15,781,CCA781
1.25,0.3628,693,15,725,CCA725
0.75,0.9825,1309,20,7357,CCA7357
0.5,0.5898,808,25,2900,CCA2900
3.25,0.8577,1073,20,6093,CCA6093
4,0.9494,1156,20,3786,CCA3786
0,0.7291,969,5,7426,CCA7426
2,1.2416,1498,15,574,CCA574
2.5,0.7629,1132,5,6791,CCA6791
1.25,0.7835,1159,8,7358,CCA7358
4,0.6737,888,12,6303,CCA6303
2.5,0.5604,799,30,1737,CCA1737
4,0.6908,968,40,1753,CCA1753
0.5,0.7525,1128,10,615,CCA615
2,0.7892,1143,40,2905,CCA2905
1.5,0.4626,665,40,1732,CCA1732
0.5,0.9041,1088,40,7234,CCA7234
1.25,0.1575,519,35,1749,CCA1749
3.25,0.9318,1116,8,7233,CCA7233
0,0.2756,460,20,6867,CCA6867
2,0.5926,801,20,6119,CCA6119
3.666666667,0.3293,519,20,361,CCA361
1.2,0.7078,907,12,7367,CCA7367
0,0.5117,662,12,7369,CCA7369
0.3333333,0.4509,656,40,6783,CCA6783
3.5,0.5846,816,40,2901,CCA2901
0,0.6538,871,30,7354,CCA7354
1.75,1.0266,1232,30,7047,CCA7047
3.75,1.8504,1852,7,7371,CCA7371
2.5,1.473,1559,10,7385,CCA7385
4,0.6017,792,40,602,CCA602
3.25,0.8349,975,40,7366,CCA7366
0,0.8908,1198,40,7356,CCA7356
1.5,0.7835,1159,7,7359,CCA7359
4,0.8921,1335,7,620,CCA620
4,1.0041,1343,30,5869,CCA5869
4,0.7403,1049,2,5868,CCA5868
2.75,2.0221,1980,50,7400,CCA7400
4,0.971,1318,7,5252,CCA5252
1.75,0.6982,917,6,1751,CCA1751
4,1.0029,1136,7,594,CCA594
4,0.7287,1093,3,1233,CCA1233
4,0.909,1196,7,5256,CCA5256
3.333333333,0.4861,702,7,5249,CCA5249
3,0.9504,1098,15,7382,CCA7382
2.5,0.595,799,4,1756,CCA1756
0,0.7074,912,20,6099,CCA6099
4,0.3683,582,90,804,CCA804
1,0.19,252,4,1769,CCA1769
0,0.4147,700,35,737,CCA737
