phylo.tip.label.match,new.tip_unique.ID,edge.length
eucalyptus_bensonii,eucalyptus_bensonii_773,NA
eucalyptus_benthamii,eucalyptus_benthamii_3203,NA
eucalyptus_beyeriana,eucalyptus_beyeriana_1761,NA
eucalyptus_globulus,eucalyptus_bicostata_468,NA
eucalyptus_globulus,eucalyptus_bicostata_3212,NA
eucalyptus_deglupta,eucalyptus_binacag_19492,NA
eucalyptus_deglupta,eucalyptus_binacag_21163,NA
eucalyptus_pellita,eucalyptus_biterranea_2518,NA
eucalyptus_pellita,eucalyptus_biterranea_6438,NA
eucalyptus_blakelyi,eucalyptus_blakelyi_722,NA
eucalyptus_blakelyi,eucalyptus_blakelyi_3796,NA
eucalyptus_blaxellii,eucalyptus_blaxellii_272,NA
eucalyptus_blaxlandii,eucalyptus_blaxlandii_1225,NA
eucalyptus_blaxlandii,eucalyptus_blaxlandii_2916,NA
eucalyptus_blaxlandii,eucalyptus_blaxlandii_5872,NA
eucalyptus_blaxlandii,eucalyptus_blaxlandii_6284,NA
eucalyptus_boliviana,eucalyptus_boliviana_6197,NA
eucalyptus_bosistoana,eucalyptus_bosistoana_1733,NA
eucalyptus_bosistoana,eucalyptus_bosistoana_2902,NA
eucalyptus_botryoides,eucalyptus_botryoides_1739,NA
eucalyptus_botryoides,eucalyptus_botryoides_6307,NA
eucalyptus_brachyandra,eucalyptus_brachyandra_4223,NA
eucalyptus_brachycalyx,eucalyptus_brachycalyx_1072,NA
eucalyptus_brachycalyx,eucalyptus_brachycalyx_-_e._laevis_intergrade_5966,NA
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys)_553,NA
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys)_2245,NA
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys)_2801,NA
eucalyptus_tetraptera,eucalyptus_brandiana_5514,NA
eucalyptus_brassiana,eucalyptus_brassiana_1316,NA
eucalyptus_brassiana,eucalyptus_brassiana_2512,NA
eucalyptus_brevifolia,eucalyptus_brevifolia_1936,NA
eucalyptus_brevifolia,eucalyptus_brevifolia_4220,NA
eucalyptus_brevifolia,eucalyptus_brevifolia_6640,NA
eucalyptus_brevipes,eucalyptus_brevipes_299,NA
eucalyptus_brevistylis,eucalyptus_brevistylis_1141,NA
eucalyptus_bridgesiana,eucalyptus_bridgesiana_570,NA
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(e._saxicola)_5271,NA
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(large_juveniles)_760,NA
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(large_juveniles)_2950,NA
eucalyptus_brockwayi,eucalyptus_brockwayi_136,NA
eucalyptus_brockwayi,eucalyptus_brockwayi_2166,NA
eucalyptus_brockwayi,eucalyptus_brockwayi_2168,NA
eucalyptus_brookeriana,eucalyptus_brookeriana_1988,NA
eucalyptus_brookeriana,eucalyptus_brookeriana_1965,NA
eucalyptus_brookeriana,eucalyptus_brookeriana_1967,NA
eucalyptus_brookeriana,eucalyptus_brookeriana_4513,NA
eucalyptus_hallii,eucalyptus_broviniensis_6478,NA
eucalyptus_populnea,eucalyptus_brownii_1293,NA
eucalyptus_brunnea,eucalyptus_brunnea_669,NA
eucalyptus_buprestium,eucalyptus_buprestium_223,NA
eucalyptus_buprestium,eucalyptus_buprestium_6703,NA
eucalyptus_burdettiana,eucalyptus_burdettiana_2246,NA
eucalyptus_burracoppinensis,eucalyptus_burracoppinensis_306,NA
eucalyptus_cadens,eucalyptus_cadens_1772,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._'boyagin'_5542,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern'_3813,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern'_5550,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern'_6026,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_308,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_3679,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_3683,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_5612,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia_6682,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._magna_304,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._magna_5455,NA
eucalyptus_caesia,eucalyptus_caesia_subsp._magna_5610,NA
eucalyptus_viridis,eucalyptus_cajuputea_1691,NA
eucalyptus_viridis,eucalyptus_cajuputea_5281,NA
eucalyptus_viridis,eucalyptus_cajuputea_5929,NA
eucalyptus_calcareana,eucalyptus_calcareana_60,NA
eucalyptus_calcareana,eucalyptus_calcareana_103,NA
eucalyptus_calcareana,eucalyptus_calcareana_1074,NA
eucalyptus_calcareana,eucalyptus_calcareana_2587,NA
eucalyptus_calcareana,eucalyptus_calcareana_2800,NA
eucalyptus_calcicola,eucalyptus_calcicola_subsp._calcicola_1674,NA
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_1669,NA
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_1878,NA
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_3753,NA
