phylo.tip.label.match,new.tip,unique.ID,new.tip_unique.ID
eucalyptus_pellita,eucalyptus_biterranea,2518,eucalyptus_biterranea_2518
eucalyptus_pellita,eucalyptus_biterranea,6438,eucalyptus_biterranea_6438
eucalyptus_blakelyi,eucalyptus_blakelyi,722,eucalyptus_blakelyi_722
eucalyptus_blakelyi,eucalyptus_blakelyi,3796,eucalyptus_blakelyi_3796
eucalyptus_blaxlandii,eucalyptus_blaxlandii,1225,eucalyptus_blaxlandii_1225
eucalyptus_blaxlandii,eucalyptus_blaxlandii,2916,eucalyptus_blaxlandii_2916
eucalyptus_blaxlandii,eucalyptus_blaxlandii,5872,eucalyptus_blaxlandii_5872
eucalyptus_blaxlandii,eucalyptus_blaxlandii,6284,eucalyptus_blaxlandii_6284
eucalyptus_bosistoana,eucalyptus_bosistoana,1733,eucalyptus_bosistoana_1733
eucalyptus_bosistoana,eucalyptus_bosistoana,2902,eucalyptus_bosistoana_2902
eucalyptus_botryoides,eucalyptus_botryoides,1739,eucalyptus_botryoides_1739
eucalyptus_botryoides,eucalyptus_botryoides,6307,eucalyptus_botryoides_6307
eucalyptus_brachycalyx,eucalyptus_brachycalyx,1072,eucalyptus_brachycalyx_1072
eucalyptus_brachycalyx,eucalyptus_brachycalyx_-_e._laevis_intergrade,5966,eucalyptus_brachycalyx_-_e._laevis_intergrade_5966
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys),553,eucalyptus_brachycalyx_(e._pleurocorys)_553
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys),2245,eucalyptus_brachycalyx_(e._pleurocorys)_2245
eucalyptus_brachycalyx,eucalyptus_brachycalyx_(e._pleurocorys),2801,eucalyptus_brachycalyx_(e._pleurocorys)_2801
eucalyptus_tetraptera,eucalyptus_brandiana,5514,eucalyptus_brandiana_5514
eucalyptus_brassiana,eucalyptus_brassiana,1316,eucalyptus_brassiana_1316
eucalyptus_brassiana,eucalyptus_brassiana,2512,eucalyptus_brassiana_2512
eucalyptus_brevifolia,eucalyptus_brevifolia,1936,eucalyptus_brevifolia_1936
eucalyptus_brevifolia,eucalyptus_brevifolia,4220,eucalyptus_brevifolia_4220
eucalyptus_brevifolia,eucalyptus_brevifolia,6640,eucalyptus_brevifolia_6640
eucalyptus_bridgesiana,eucalyptus_bridgesiana,570,eucalyptus_bridgesiana_570
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(e._saxicola),5271,eucalyptus_bridgesiana_(e._saxicola)_5271
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(large_juveniles),760,eucalyptus_bridgesiana_(large_juveniles)_760
eucalyptus_bridgesiana,eucalyptus_bridgesiana_(large_juveniles),2950,eucalyptus_bridgesiana_(large_juveniles)_2950
eucalyptus_brockwayi,eucalyptus_brockwayi,136,eucalyptus_brockwayi_136
eucalyptus_brockwayi,eucalyptus_brockwayi,2166,eucalyptus_brockwayi_2166
eucalyptus_brockwayi,eucalyptus_brockwayi,2168,eucalyptus_brockwayi_2168
eucalyptus_brookeriana,eucalyptus_brookeriana,1988,eucalyptus_brookeriana_1988
eucalyptus_brookeriana,eucalyptus_brookeriana,1965,eucalyptus_brookeriana_1965
eucalyptus_brookeriana,eucalyptus_brookeriana,1967,eucalyptus_brookeriana_1967
eucalyptus_brookeriana,eucalyptus_brookeriana,4513,eucalyptus_brookeriana_4513
eucalyptus_hallii,eucalyptus_broviniensis,6478,eucalyptus_broviniensis_6478
eucalyptus_buprestium,eucalyptus_buprestium,223,eucalyptus_buprestium_223
eucalyptus_buprestium,eucalyptus_buprestium,6703,eucalyptus_buprestium_6703
eucalyptus_caesia,eucalyptus_caesia_subsp._'boyagin',5542,eucalyptus_caesia_subsp._'boyagin'_5542
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern',3813,eucalyptus_caesia_subsp._'southern'_3813
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern',5550,eucalyptus_caesia_subsp._'southern'_5550
eucalyptus_caesia,eucalyptus_caesia_subsp._'southern',6026,eucalyptus_caesia_subsp._'southern'_6026
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia,308,eucalyptus_caesia_subsp._caesia_308
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia,3679,eucalyptus_caesia_subsp._caesia_3679
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia,3683,eucalyptus_caesia_subsp._caesia_3683
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia,5612,eucalyptus_caesia_subsp._caesia_5612
eucalyptus_caesia,eucalyptus_caesia_subsp._caesia,6682,eucalyptus_caesia_subsp._caesia_6682
eucalyptus_caesia,eucalyptus_caesia_subsp._magna,304,eucalyptus_caesia_subsp._magna_304
eucalyptus_caesia,eucalyptus_caesia_subsp._magna,5455,eucalyptus_caesia_subsp._magna_5455
eucalyptus_caesia,eucalyptus_caesia_subsp._magna,5610,eucalyptus_caesia_subsp._magna_5610
eucalyptus_viridis,eucalyptus_cajuputea,1691,eucalyptus_cajuputea_1691
eucalyptus_viridis,eucalyptus_cajuputea,5281,eucalyptus_cajuputea_5281
eucalyptus_viridis,eucalyptus_cajuputea,5929,eucalyptus_cajuputea_5929
eucalyptus_calcareana,eucalyptus_calcareana,60,eucalyptus_calcareana_60
eucalyptus_calcareana,eucalyptus_calcareana,103,eucalyptus_calcareana_103
eucalyptus_calcareana,eucalyptus_calcareana,1074,eucalyptus_calcareana_1074
eucalyptus_calcareana,eucalyptus_calcareana,2587,eucalyptus_calcareana_2587
eucalyptus_calcareana,eucalyptus_calcareana,2800,eucalyptus_calcareana_2800
