tree_CCAUniqueIDs,tree_UniqueIDs
CCA2452,2452
CCA1276,1276
CCA743,743
CCA747,747
CCA698,698
CCA1279,1279
CCA1275,1275
CCA2106,2106
CCA1293,1293
CCA6176,6176
CCA729,729
CCA5929,5929
CCA5281,5281
CCA1691,1691
CCA2083,2083
CCA2080,2080
CCA2920,2920
CCA4226,4226
CCA4203,4203
CCA2440,2440
CCA1329,1329
CCA2526,2526
CCA2520,2520
CCA1916,1916
CCA1289,1289
CCA1322,1322
CCA686,686
CCA1761,1761
CCA645,645
CCA2506,2506
CCA712,712
CCA2556,2556
CCA4172,4172
CCA980,980
CCA2119,2119
CCA6474,6474
CCA674,674
CCA5263,5263
CCA1338,1338
CCA2458,2458
CCA5812,5812
CCA1920,1920
CCA1908,1908
CCA6640,6640
CCA4220,4220
CCA1936,1936
CCA1291,1291
CCA6422,6422
CCA1313,1313
CCA1919,1919
CCA5810,5810
CCA5804,5804
CCA2468,2468
CCA2486,2486
CCA6646,6646
CCA1930,1930
CCA5137,5137
CCA2533,2533
CCA646,646
CCA6414,6414
CCA5117,5117
CCA2508,2508
CCA1292,1292
CCA5205,5205
CCA5203,5203
CCA4183,4183
CCA1330,1330
CCA1285,1285
CCA690,690
CCA5121,5121
CCA1298,1298
CCA2898,2898
CCA1676,1676
CCA681,681
CCA4179,4179
CCA1207,1207
CCA1202,1202
CCA1364,1364
CCA6916,6916
CCA2895,2895
CCA1220,1220
CCA6866,6866
CCA1590,1590
CCA679,679
CCA2954,2954
CCA736,736
CCA2580,2580
CCA936,936
CCA822,822
CCA1683,1683
CCA2569,2569
CCA1053,1053
CCA3182,3182
CCA2583,2583
CCA453,453
CCA1219,1219
CCA777,777
CCA2902,2902
CCA1733,1733
CCA1958,1958
CCA2581,2581
CCA2897,2897
CCA2566,2566
CCA1798,1798
CCA351,351
CCA4310,4310
CCA473,473
CCA2585,2585
CCA3788,3788
CCA460,460
CCA6105,6105
CCA6784,6784
CCA1727,1727
CCA717,717
CCA2086,2086
CCA697,697
CCA639,639
CCA2903,2903
CCA2918,2918
CCA643,643
CCA634,634
CCA945,945
CCA946,946
CCA5933,5933
CCA57,57
CCA482,482
CCA6097,6097
CCA7378,7378
CCA1734,1734
CCA5915,5915
CCA5285,5285
CCA3183,3183
CCA2065,2065
CCA783,783
CCA5932,5932
CCA1689,1689
CCA487,487
CCA1506,1506
CCA5924,5924
CCA4423,4423
CCA3439,3439
CCA929,929
CCA824,824
CCA5229,5229
CCA2558,2558
CCA981,981
CCA93,93
CCA983,983
CCA3642,3642
CCA128,128
CCA3880,3880
CCA3619,3619
CCA116,116
CCA2801,2801
CCA2245,2245
CCA553,553
CCA5966,5966
CCA1072,1072
CCA4669,4669
CCA3178,3178
CCA5477,5477
CCA3644,3644
CCA947,947
CCA191,191
CCA7295,7295
CCA333,333
CCA3711,3711
CCA3608,3608
CCA3604,3604
CCA3660,3660
CCA2286,2286
CCA135,135
CCA3480,3480
CCA3657,3657
CCA3653,3653
CCA551,551
CCA3898,3898
CCA3634,3634
CCA122,122
CCA4626,4626
CCA249,249
CCA5592,5592
CCA1548,1548
CCA5180,5180
CCA1550,1550
CCA1188,1188
CCA525,525
CCA1520,1520
CCA1405,1405
CCA137,137
CCA3656,3656
CCA158,158
CCA6017,6017
CCA3588,3588
CCA1106,1106
CCA944,944
CCA938,938
CCA933,933
CCA559,559
CCA3830,3830
CCA3667,3667
CCA3474,3474
CCA3625,3625
CCA3620,3620
CCA2795,2795
CCA5453,5453
CCA302,302
CCA5585,5585
CCA5596,5596
CCA321,321
CCA316,316
CCA1603,1603
CCA326,326
CCA3669,3669
CCA3468,3468
CCA3449,3449
CCA3424,3424
CCA242,242
CCA1173,1173
CCA2235,2235
CCA266,266
CCA325,325
CCA323,323
CCA3483,3483
CCA305,305
CCA2767,2767
CCA1897,1897
CCA6943,6943
CCA2232,2232
CCA1076,1076
CCA3527,3527
CCA269,269
CCA1116,1116
CCA286,286
CCA132,132
CCA2896,2896
CCA732,732
CCA949,949
CCA4794,4794
CCA4786,4786
CCA4558,4558
CCA3829,3829
CCA3177,3177
CCA1112,1112
CCA6693,6693
CCA2281,2281
CCA6926,6926
CCA1566,1566
CCA6021,6021
CCA1861,1861
CCA3645,3645
CCA444,444
CCA79,79
CCA1119,1119
CCA1099,1099
CCA155,155
CCA3676,3676
CCA322,322
CCA5507,5507
CCA3713,3713
CCA1105,1105
CCA3616,3616
CCA3592,3592
CCA153,153
CCA5908,5908
CCA3179,3179
CCA806,806
CCA4551,4551
CCA1826,1826
CCA3633,3633
CCA549,549
CCA6377,6377
CCA160,160
CCA6025,6025
CCA5509,5509
CCA203,203
CCA181,181
CCA4571,4571
CCA3731,3731
CCA4572,4572
CCA4796,4796
CCA4602,4602
CCA4550,4550
CCA3698,3698
CCA2802,2802
CCA1117,1117
CCA6005,6005
CCA1638,1638
CCA1129,1129
CCA1108,1108
CCA930,930
CCA152,152
CCA3973,3973
CCA3816,3816
CCA5905,5905
CCA939,939
CCA3554,3554
CCA3746,3746
CCA5983,5983
CCA3706,3706
CCA1136,1136
CCA4801,4801
CCA2800,2800
CCA2587,2587
CCA1074,1074
CCA103,103
CCA60,60
CCA550,550
CCA4437,4437
CCA1110,1110
CCA199,199
CCA143,143
CCA6355,6355
CCA3650,3650
CCA3635,3635
CCA120,120
CCA4306,4306
CCA330,330
CCA6996,6996
CCA131,131
CCA4305,4305
CCA3637,3637
CCA515,515
CCA3627,3627
CCA3601,3601
CCA3445,3445
CCA2733,2733
CCA5997,5997
CCA558,558
CCA1107,1107
CCA5575,5575
CCA5577,5577
CCA6016,6016
CCA156,156
CCA2738,2738
CCA110,110
CCA526,526
CCA121,121
CCA6010,6010
CCA1094,1094
CCA3451,3451
CCA290,290
CCA3497,3497
CCA278,278
CCA301,301
CCA5458,5458
CCA4677,4677
CCA3448,3448
CCA2300,2300
CCA340,340
CCA3595,3595
CCA157,157
CCA2175,2175
CCA129,129
CCA4430,4430
CCA1887,1887
CCA6378,6378
CCA1132,1132
CCA312,312
CCA1148,1148
CCA314,314
